単語,出現回数
作業,555
工場,525
転倒,469
骨折,333
ため,301
負傷,258
階段,219
ところ,219
移動,207
とき,164
バランス,158
右足,156
強打,146
製品,146
落下,143
左足,134
地面,123
足首,121
右手,96
加工,84
材料,83
転落,82
作業場,80
鉄板,77
足場,74
段差,73
クレーン,67
通路,67
機械,66
打撲,64
手首,62
溶接,62
左手,62
途中,61
状態,58
足元,58
確認,56
切断,55
事務所,53
鋼材,53
歩行,53
両手,52
場所,51
着地,49
パレット,49
休憩,48
架台,48
駐車,47
屋根,46
トラック,46
