単語,出現回数
洗浄,230
清掃,229
台車,182
ライン,146
途中,145
バランス,144
終了,127
製造,126
付近,118
歩行,117
地面,116
段差,116
冷蔵庫,116
作業場,115
包装,115
冷凍庫,106
加工,101
製品,101
駐車,95
商品,93
状態,92
入口,92
休憩,91
ゴミ,88
厨房,87
場所,85
原料,82
コンテナ,77
トイレ,76
凍結,72
滑り,66
ホース,65
運搬,65
被災,64
機械,61
後方,60
部分,58
敷地,57
保管,57
廊下,57
排水,56
尻もち,56
掃除,56
前方,55
パレット,55
処理,54
足元,54
容器,52
調理,52
コンクリート,51
