単語,出現回数
屋根,76
設置,68
スレート,54
タンク,52
コンクリート,50
同僚,43
開口,43
足場,39
点検,37
部分,35
上部,32
使用,31
手すり,30
地上,30
地面,29
ブロック,29
階段,29
船体,28
移動,24
箇所,24
ホース,22
倉庫,21
防止,20
強打,19
救急,19
運転,19
落下,19
ドック,19
通路,18
ホッパー,18
固定,17
状況,17
付近,17
天井,17
クレーン,17
配管,16
清掃,16
従事,16
排出,15
バランス,14
準備,14
工事,14
建屋,14
補修,14
サイロ,13
その後,13
ピット,13
解体,13
排水,13
建造,13
