単語,出現回数
機械,36
停止,30
回転,22
製品,20
思い込み,19
運転,18
移動,16
操作,15
清掃,15
階段,14
プレス,14
状態,12
落下,12
レール,11
加工,10
カバー,10
昇降,10
ロール,10
左足,10
自動,9
終了,9
安全,9
調整,8
ロータリー,8
ベルト,8
脚立,8
荷物,7
スイッチ,7
作動,7
電源,7
交換,7
スライス,7
エレベータ,6
位置,6
設備,6
関節,6
粉砕,6
バランス,6
親指,6
原紙,6
開始,6
作業場,6
完全,6
担当,6
印刷,6
搬入,5
製造,5
セット,5
使用,5
最後,5
