単語,出現回数
移動,67
荷重,66
操作,65
運転,55
搬器,52
走行,50
鉄骨,48
落下,44
激突,41
トラック,40
つり上げ,39
掛け,36
設置,34
ホイスト,34
使用,34
同僚,31
昇降,29
重量,28
フック,28
荷台,28
点検,27
下敷き,27
エレベーター,25
ロール,24
リフト,22
クランプ,22
部品,20
鋼材,20
台車,19
鉄板,18
運搬,17
胸部,17
方向,16
つり,16
停止,16
溶接,16
交換,16
ロープ,15
位置,15
パレット,15
地上,14
部材,14
油圧,14
片側,13
架台,13
加工,12
建屋,12
接触,12
箇所,12
修理,12
