単語,出現回数
製品,561
鉄板,547
鋼材,470
落下,387
クレーン,276
パイプ,219
溶接,216
コイル,194
鉄骨,186
被災,175
部分,154
鉄筋,153
台車,135
鋼板,134
作業場,113
金属,109
ステンレス,105
トラック,103
安全,97
部材,96
塗装,95
荷台,94
スクラップ,93
㎏）,93
手前,91
地面,87
状態,85
鉄製,82
裂傷,80
架台,79
部品,76
接触,74
置き場,71
重量,69
パレット,69
品物,68
ワイヤー,66
位置,65
確認,64
運搬,63
置場,62
当社,61
プレート,59
固定,56
資材,56
痛み,56
組立,56
よう,54
場所,52
受傷,51
