単語,出現回数
回転,60
プレス,36
部品,32
切断,32
使用,28
直径,25
材料,23
運転,21
操作,21
部分,21
研磨,20
ＮＣ,19
ｍｍ,18
切削,18
内部,16
固定,16
同僚,16
ボルト,14
ローラー,14
テーブル,14
パイプ,14
ショットブラスト,14
稼働,13
激突,13
バケット,13
箇所,12
動力,12
身体,12
研削,12
ボール盤,11
交換,11
付近,11
ドリル,11
安全,10
フライス盤,10
カバー,10
移動,10
ボタン,10
一部,10
アーム,10
上半身,10
ドラム,10
下降,10
鋼管,10
台車,10
ぐり,9
鋼材,9
修理,9
取り,9
本体,9
