単語,出現回数
作業,78
ため,45
ところ,43
機械,36
被災,32
停止,30
工場,25
右手,23
回転,22
製品,20
確認,20
思い込み,19
運転,18
負傷,17
移動,16
中指,16
もの,15
操作,15
清掃,15
階段,14
プレス,14
状態,12
落下,12
レール,11
加工,10
切断,10
カバー,10
昇降,10
左手,10
ロール,10
左足,10
自動,9
終了,9
安全,9
骨折,9
調整,8
同僚,8
こと,8
右足,8
ロータリー,8
ベルト,8
脚立,8
とき,8
荷物,7
スイッチ,7
作動,7
電源,7
交換,7
スライス,7
エレベータ,6
