単語,出現回数
清掃,95
台車,90
洗浄,78
バランス,60
製造,54
ライン,52
製品,51
段差,51
付近,49
途中,46
歩行,44
包装,42
状態,42
作業場,37
終了,37
加工,35
原料,34
冷凍庫,34
運搬,33
機械,33
駐車,32
捻挫,32
冷蔵庫,32
地面,31
入口,31
廊下,30
調理,28
トイレ,28
休憩,28
容器,28
処理,28
凍結,27
足元,27
商品,27
コンテナ,27
場所,27
掃除,26
頭部,26
確認,26
小走り,24
給食,24
路面,23
損傷,23
尻もち,23
被災,23
脇腹,22
段ボール,22
ゴミ,22
臀部,22
準備,21
