単語,出現回数
被災,1048
作業,761
ところ,512
ため,512
機械,409
もの,343
死亡,330
当該,210
発見,208
搬送,200
工場,198
装置,191
コンベア,179
運転,171
回転,162
状態,160
自動,157
加工,156
確認,153
頭部,152
停止,137
製造,128
同僚,127
労働,122
ライン,118
製品,104
ローラー,103
ベルト,102
トラック,100
使用,97
操作,95
フォークリフト,95
投入,92
点検,92
部分,89
クレーン,88
清掃,85
ロール,85
移動,85
内部,83
発生,79
こと,79
フレーム,76
設置,74
工程,74
胸部,74
病院,71
部品,71
プレス,71
事業,70
