単語,出現回数
階段,219
落下,143
地面,123
材料,83
転落,82
作業場,80
足場,74
段差,73
クレーン,67
通路,67
溶接,62
途中,61
状態,58
確認,56
事務所,53
歩行,53
場所,51
着地,49
パレット,49
休憩,48
架台,48
駐車,47
屋根,46
トラック,46
終了,44
会社,44
台車,44
付近,43
部分,42
部品,39
鉄筋,39
倉庫,38
清掃,38
大腿,36
荷台,36
コンクリート,35
捻挫,35
塗装,34
鉄骨,34
資材,33
頭部,33
敷地,32
足下,32
荷物,31
入口,30
後方,29
ライン,29
置場,29
現場,29
そう,28
