単語,出現回数
避難,372
元年,287
台風,225
原子力,214
情報,179
被災,177
被害,163
発生,151
訓練,144
ボランティア,130
緊急,128
地震,96
事業,94
必要,91
東日本,87
生活,82
豪雨,70
復旧,70
国土,65
対象,64
リスク,63
行政,61
行動,60
土砂,59
設置,58
参照,54
広域,53
津波,53
大雨,50
業務,46
変動,45
場合,45
協議,45
応急,45
予定,45
浸水,44
回答,44
技術,43
気候,42
長野,42
センター,42
提供,41
強靱,41
想定,40
検証,39
千葉,39
具体,39
連絡,39
強化,39
中堅,39
