単語,出現回数
機械,553
当該,508
搬送,485
クレーン,479
運転,478
状態,393
フォークリフト,388
トラック,352
確認,352
同僚,328
事業,327
墜落,319
使用,318
移動,317
頭部,305
装置,295
加工,272
製造,266
発生,256
製品,254
設置,239
操作,233
こと,231
天井,224
落下,219
タンク,218
停止,217
コンベア,217
走行,209
回転,208
部分,195
付近,194
下敷き,190
コンクリート,190
自動,187
激突,187
点検,179
荷台,179
転落,174
運搬,167
上部,167
清掃,166
ライン,163
投入,162
内部,161
救急,160
設備,159
重量,159
メートル,159
荷重,153
