単語,出現回数
防災,928
災害,710
地震,447
避難,393
被災,313
計画,309
原子力,262
内閣,254
情報,209
事業,205
発生,191
被害,189
能登半島,179
復旧,162
強化,158
訓練,155
石川,153
復興,151
国土,137
緊急,133
生活,132
体制,129
必要,123
会議,120
強靱,112
基本,112
本部,106
地区,106
規模,105
能登,99
提供,98
出典,92
設置,91
輪島,88
策定,86
継続,82
応急,81
全国,80
技術,76
自治体,75
大臣,72
民間,72
住民,71
研修,71
担当,70
火山,69
指定,68
熊本,66
職員,64
環境,63
