年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
30,5,18～19,改修工事現場にて、仕事中転んで植え込みに背中から倒れて腰を強打した。,建設業,建築工事業,木造家屋建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,50
30,5,13～14,倉庫で整理整頓中、脚立を使用して昇降していたところ、バランスを崩して転落し、地面に叩きつけられた。,建設業,土木工事業,道路建設工事業,50～99人,その他の装置等,用具,はしご等,墜落、転落,55
30,5,11～12,倉庫内にて、ケーシングを土台上で溶接中に、土台がズレてしまいケーシングが左足上に落下し、負傷した。,建設業,その他の建設業,その他の建設業－その他,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,飛来、落下,59
30,5,11～12,倉庫内で、重さ約15㎏の材料を高さ2mの棚へ脚立を使用し荷上げをしていたところ、バランスを崩して転倒し、左足の甲を骨折した。,建設業,建築工事業,建築設備工事業,30～49人,その他の装置等,用具,はしご等,墜落、転落,37
30,5,11～12,建物の足場を解体中に部材の支柱パイプを、上段にいた作業員から受け取る際に、手が滑り左足親指付け根付近に落とし負傷した。,建設業,建築工事業,その他の建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,飛来、落下,27
30,5,9～10,"会社から普通貨物自動車を運転して作業現場へ向かい、現場のすぐ近くの道路脇に停めていた。
T字路を右折しようとハンドルを切って発進したところ、後方確認が不十分だったため、後方から追い越そうとした自動車と接触し、その際の衝撃で首を負傷した。",建設業,その他の建設業,その他の建設業－その他,1～9人,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,60
30,5,16～17,資材置き場の整頓中に、トラックから降りる際、右足首をひねってしまった。,建設業,その他の建設業,その他の建設業－その他,10～29人,物上げ装置、運搬機械,動力運搬機,トラック,激突,27
30,5,14～15,換気口を塗装している際、次の換気口を塗ろうと足場を移動した際、足場が足に引っ掛かり高さ約5.5mの所から転落、肋骨と左手を負傷した。,建設業,建築工事業,その他の建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落,29
30,5,10～11,新築工事現場入口で、荷物のベルトを外そうとしてトラックの上から足を滑らせて落下し負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,10～29人,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落,35
