年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
24,1,6～7,積雪の除雪作業に従事していた際、除雪ローダー（１１ｔ）を運転し橋上を除雪中、橋中央部のジョイントにアングリングプラウ部が挟まり急停止し、その反動で助手席に座っていた被災者は、同側の手すりに頭部をぶつけ受傷した。,建設業,土木工事業,その他の土木工事業,1～9,動力機械,建設機械等,その他の建設用機械,激突,59
24,1,14～15,事業場内にて設備維持工事（作業）中、資材運搬の為、ドラム缶を運搬しようとして、ドラム缶を移動するため、力を入れて引いたところ、ドラム缶が空だった為、道路上に転倒した。その際、頭部を強打した。,建設業,その他の建設業,その他の建設業－その他,10～29,荷,荷,荷姿のもの,転倒,64
24,1,13～14,居室で壁（外壁面）に、内部よりコア抜き作業をするため、脚立（アルミ）を使用したが、脚立と共に転倒。手を着き手首、親指、小指を骨折、額を切った。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,50～99,その他の装置等,用具,はしご等,墜落・転落,49
24,1,15～16,道路用地にて、掘削機を使って切土をし、４ｔダンプに積み込む作業をしていた。４ｔダンプを坂道（傾斜３０）に停め、積み込んでいたところ、車止めをしなかったため、車がバックしたのに気付かず、掘削機と後輪に足が挟まり、負傷した。,建設業,土木工事業,その他の土木工事業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ巻き込まれ,58
24,1,8～9,２トンダンプ荷台の上に乗り、積み込んだ材料を整理し、アオリに足をかけ、飛び降りた。地面に着地した際、足を捻り、負傷した。,建設業,建築工事業,その他の建築工事業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,激突,43
24,1,11～12,伐採し終った竹を運ぶため、ノコギリで切断中、切り落とした竹が足に落ち、小指を骨折した。,建設業,土木工事業,その他の土木工事業,1～9,物質、材料,材料,木材、竹材,飛来・落下,29
24,1,11～12,ウレタン吹付工事中、脚立に乗って作業を行っていたところ、バランスを崩し約１ｍの高さから転倒。床に立っていた木製の土台に背中を強打した。,建設業,建築工事業,木造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落・転落,38
24,1,9～10,鉄板（９ｍｍ）に鉄板穿孔用ドリルを装着した回転ドリルで穴を開ける作業中、ドリルが鉄板にくい込み回転が急停止した為、ドリル本体が急旋回し、持ち手ごと急激に回された。,建設業,建築工事業,その他の建築工事業,1～9,動力機械,金属加工用機械,その他の金属加工用機械,動作の反動無理な動作,33
24,1,16～17,個人宅のブロック修理工事現場にて、ブロックの門柱を解体取り壊し中、一人で門柱の下部の角をハンマーで叩いていたところ、門柱が倒れ、避けきれず足に当たり足指を骨折した。尚、安全靴は履いておらず運動靴を着用していた。,建設業,土木工事業,その他の土木工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊・倒壊,52
24,1,18～19,会社倉庫にて、トラックに積んだプレハブハウスの荷下ろし作業中、バランスを崩し、高さ３ｍのハウスの上から落下。手を負傷した。,建設業,建築工事業,木造家屋建築工事業,10～29,荷,荷,荷姿のもの,墜落・転落,38
24,1,8～9,２階で型枠の解体作業中、横パイプの１段目を外したところ、縦パイプが滑り落ち、下階の基礎コンクリートに当たり、はね返ってきて、持っていた横パイプとの間に指をはさまれ、負傷した。,建設業,建築工事業,その他の建築工事業,10～29,物質、材料,材料,金属材料,はさまれ巻き込まれ,39
24,1,9～10,軽トラックで作業現場に向け運転走行中、道路工事のための車線規制により停車していた車輌に追突した。運転席内部に足を打ちつけ、負傷した。,建設業,建築工事業,木造家屋建築工事業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,58
24,1,15～16,到達立坑切梁設置作業時、山留材のボルトを脚立にまたがって締め付け中、工具（ラジェットレンチ）がボルト頭部よりはずれ、その反動でバランスを崩し、脚立ごと転倒した。,建設業,土木工事業,その他の土木工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,43
24,1,10～11,１階下屋屋根の棟の部分より屋根の施工をする為、前日積もった雪のおろし作業に移ろうとした際、雪おろしが不十分だった為、すべり落ちそうになり、手でケラバ板金にしがみつき、小指と薬指の付け根を負傷した。,建設業,建築工事業,木造家屋建築工事業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,切れ・こすれ,23
24,1,10～11,林道舗装道路部分を流量計ピットドレン配管埋設のため、バックホウで掘削中、掘削箇所内に入って、作業していた被災者の背中とバックホウのバケット部が接触した。,建設業,その他の建設業,その他の建設業－その他,1～9,動力機械,建設機械等,整地・運搬・積込用機械,激突され,48
24,1,11～12,ジブクレーン解体中、ジブクレーン受け架台梁を玉掛け、無線合図（作業指揮者）で地切り（数センチ）したところ、荷が振れ、走行台車梁上で介錯しようとしていた被災者の足に当たり負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,物上げ装置、運搬機械,動力クレーン等,クレーン,激突され,32
24,1,8～9,解体工事現場にて、鉄骨ガス溶断作業を行っていたところ、鉄骨がはね返り、膝に当たり切れた。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,激突され,27
24,1,13～14,１階天井部の梁材の取外し準備をするため、梯子を使用し作業していたところ、梁材が抜け落ちて、バランスを崩し、落下。骨折した。,建設業,建築工事業,木造家屋建築工事業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落・転落,46
24,1,13～14,鉄骨の梁の洗浄の準備中、台木を入れていたところ、鉄骨が滑り、手人さし指にあたった。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,物質、材料,材料,金属材料,飛来・落下,39
24,1,17～18,新築工事現場にて、丸のこ作業中、ストッパーが外れ、手に刃物が当たり、手甲を切った。,建設業,建築工事業,木造家屋建築工事業,10～29,動力機械,木材加工用機械,丸のこ盤,切れ・こすれ,64
24,1,8～9,会社から現場に向かう途中、ゆるいカーブでスリップし、左側に寄って行ったため、右にハンドルを切ったところ、横向きになり、そのまま反対車線にはみ出し、対向車線から来た車と衝突した。,建設業,建築工事業,木造家屋建築工事業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,30
24,1,9～10,資材置場にて、銅管柱を運搬のため、積荷作業中、トラッククレーンの荷台と銅管柱に手を挟まれ、親指の骨折と動脈を切断した。,建設業,その他の建設業,電気通信工事業,10～29,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,はさまれ巻き込まれ,35
24,1,16～17,資材置場にて、貨物自動車（４ｔトラッククレーン）にクローラクレーンで鋼材を積込中、鋼材と自動車のあおりに挟まれ、手挫創の負傷をした。,建設業,土木工事業,土地整理土木工事業,10～29,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,はさまれ巻き込まれ,32
24,1,16～17,新築工事作業中、電気丸ノコで木材を切断後、スイッチを切ったつもりで丸ノコの刃を上向きに置き、次の動作にすぐ移ろうとしたところ、丸ノコの置き方が悪く安全カバーがまだ作動しないうちに、手が回転中の丸ノコに触れた。,建設業,建築工事業,木造家屋建築工事業,10～29,動力機械,木材加工用機械,丸のこ盤,切れ・こすれ,22
24,1,11～12,電柱新設をする工事現場にて、道路より電柱を建てる場所まで２人で担いで、田んぼを運搬中、足にギクッと音がした。ふくらはぎ部分が痛くなり歩けなくなった。,建設業,その他の建設業,電気通信工事業,1～9,その他,起因物なし,起因物なし,動作の反動無理な動作,59
24,1,15～16,林道の残土処理場にて、法面整形作業を行っていた。土羽打ち作業も終わり、法面上部から車道（林道）に接続する機械通路を作設していた。使わなくなったブレーカーをバケットの吊フックにワイヤーで吊って、車道（上部側）に上げる作業をおこない、機械通路でブレーカーをワイヤーで吊り、谷側をおよそ９０度旋回させたところ、機体が傾き始めた。バケットを地面につき、安定させようとしたが止まらず、オペレーターは運転席から飛び降りた。バックホウの履帯（クローラー部）に胸を強打し、肋骨、肺を負傷した。,建設業,土木工事業,道路建設工事業,1～9,動力機械,建設機械等,掘削用機械,激突,72
24,1,9～10,屋根の雪下ろしをするため、玄関前の屋根に梯子を掛け、登り切ろうかというところで体勢を崩し、約２．５ｍ下の地面に背中から落下した。,建設業,建築工事業,木造家屋建築工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,39
24,1,8～9,重機足場組立中、打込み用として使用する単管パイプを移動する際、斜面上の不安定な場所に仮置きしたため、又、万一に備えて既設コルゲートパイプに流れ防止措置を行っていなかったため、単管パイプがコルゲート管内を滑落し、転落・接触防止処置（コンパネ張）を行っていた被災者の頭部を直撃した。,建設業,土木工事業,砂防工事業,10～29,物質、材料,材料,金属材料,飛来・落下,61
24,1,16～17,凍結路面で凹凸のある場所にて、２名で揚水管を移動する作業を行っていた。揚水管を抱えて歩いていた際、後ろ向きに進んでいて、足を滑らせ、転倒。路面と配管の間に挟まり、親指を負傷した。,建設業,その他の建設業,機械器具設置工事業,100～299,環境等,環境等,その他の環境等,転倒,20
24,1,7～8,国道を走行中、猛吹雪にあい、前方に大型車が突然視界に入り、追突を避けようと咄嗟に右にハンドルを切り、停止しようとしたところ、反対車線走行中のトレーラーと正面衝突した。,建設業,建築工事業,その他の建築工事業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,41
24,1,8～9,カーポート屋根改修のため、樹脂波板の撤去作業中、タルキに足を乗せ、移動しようとしたところ、劣化した波板を破損し、足も踏み抜いて、下の地面に落下。尻もちをつき、腰骨と手首内側の骨を骨折した。,建設業,建築工事業,木造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落・転落,22
24,1,9～10,外部足場１段目にて、柱と梁を固定する羽子板ボルト金物を取付作業中、安全帯を着使用しなかった為、バランスを崩し、足を踏み外して、１階床コンクリート土間に落下。骨盤骨折、アゴひもがゆるくヘルメットが外れ、側頭部を打ち、急性硬膜外血腫の負傷を負った。,建設業,建築工事業,木造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落・転落,70
24,1,16～17,電気設備工事が終了し、電灯分電盤で電気設備の絶縁測定試験を行うため、脚立を持って移動中、玄関の上りカマテの段差で足を滑らせ、転倒。足首の下の所を骨折した。,建設業,その他の建設業,電気通信工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,62
24,1,9～10,管路土留材（管材搬入口）の切梁（Ｈ鋼＝３００）を陸上でボルト練結する為、移動用のワイヤーを降ろしていた際、ダンプトラック（別工区）が進行して来た為、ワイヤーを持ち（Ｈ鋼にひっかからないようにする為）バックホウを旋回させようとブームを少し上げたところ、Ｈ鋼に１本のフックが引っかかり、足元にスライドし、足の甲に落ちた。,建設業,土木工事業,上下水道工事業,10～29,動力機械,建設機械等,掘削用機械,飛来・落下,47
24,1,10～11,レストラン棟天井吹抜部のクリア塗装を行うため、立馬で作業を行っていたが、上部梁の塗装時に届かなくなり、立馬に脚立を梯子上に乗せ、作業していた。バランスを崩し、高さ２～３ｍから落下し、コンクリート面に頭部をぶつけた。,建設業,建築工事業,木造家屋建築工事業,10～29,その他の装置等,用具,はしご等,墜落・転落,56
24,1,8～9,資材置場で土砂を積込み、２ｔダンプに乗り込む際、ドアの取手をつかみはずし、足を滑らせ、落下し、負傷した。,建設業,土木工事業,道路建設工事業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,64
24,1,14～15,河川等防災工事の測量準備作業中、仮杭を打つ作業の際、誤って掛屋が指に当たり、負傷した。,建設業,土木工事業,河川土木工事業,1～9,その他の装置等,人力機械工具等,手工具,激突され,64
24,1,16～17,小型ミキサー車でコンクリート打設の作業中、目詰りした為、軍手のまま手を入れて、修理していたところ、急に蓋が閉り、人差指を挟まれ、切った。,建設業,土木工事業,道路建設工事業,10～29,動力機械,建設機械等,その他の建設用機械,はさまれ巻き込まれ,47
24,1,17～18,屋根瓦作業中、屋根土を移動中にバランスを失い、足を滑らせ、墜落した。尚、災害当日は３名で作業を開始し、作業終了後の後片付けと屋根をブルーシートで養生中に袖（破風部分）から足を滑らせ、約４ｍ下の地面に墜落した。,建設業,建築工事業,木造家屋建築工事業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落・転落,22
24,1,16～17,自動手押鉋（社製）の機械を用いて、片手を前にもう片方の手を後方に構えて、木材を加工していた。手袋をし、安全カバーもしていたが、木材が１０センチ幅の細い木材であり、安全カバーをしていたことがかえってカンナ刃が見えにくい状態にし、小指をカンナ刃に巻き込まれ、小指の先を削いだ。,建設業,建築工事業,その他の建築工事業,1～9,動力機械,木材加工用機械,かんな盤,切れ・こすれ,57
24,1,9～10,民家の解体工事に伴い、２階建屋根の取りはずしが出来るか、ハシゴを使って調べようと屋根まで昇ったところ、霜のため滑り、地面まで墜落した。,建設業,建築工事業,その他の建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落・転落,53
24,1,10～11,傾斜地崩壊対策工事にて、傾斜地に取り付けていたメタル製の型枠を取り外す際、誤って下から５段目のメタルクリップを外し、４段目の型枠を外したところ、５段目の型枠が落下し、手を骨折した。,建設業,土木工事業,土地整理土木工事業,10～29,物質、材料,材料,金属材料,飛来・落下,31
24,1,13～14,高さ約２ｍのひいらぎもくせいの一番上の葉っぱを切るため、キャタツに登っていく途中、３段目くらいでキャタツがぐらついて落下した。とがった大きな石があり、手首を強打した。,建設業,その他の建設業,その他の建設業－その他,1～9,環境等,環境等,地山、岩石,墜落・転落,58
24,1,9～10,木くず処理作業中、伐採した木をトラックに運び、それを下ろす際、過って木を落とし（木が倒れ）、足甲に当たり、骨折をした。,建設業,土木工事業,その他の土木工事業,1～9,環境等,環境等,立木等,飛来・落下,38
24,1,15～16,４ｔダンプの荷台の上でドラグショベルでつかんだ廃材の積込をしている際、廃材の先から飛び出していたクギに気づかず、足の甲に突き刺さった。,建設業,建築工事業,木造家屋建築工事業,1～9,物質、材料,材料,金属材料,激突され,17
24,1,6～7,資材置き場にて、足場板１枚を取り出す為、番線で結束しているところを切断し、その端を引っ張ったところ、結び目が足場板の間に引っ掛かり、手前に１枚の板が滑り落ちた。危ないと思い、とっさにしゃがんだところ、足場板の端が背中の肋骨付け根に当たり、負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,50～99,物質、材料,材料,木材、竹材,崩壊・倒壊,48
24,1,9～10,現場内２Ｆの相談室にて、壁ボードを施工中（ビス留中）、アルミ４尺脚２段目よりバランスを崩し、転落。肩を強打した。,建設業,建築工事業,その他の建築工事業,10～29,その他の装置等,用具,はしご等,墜落・転落,57
24,1,10～11,太陽光発電システムを設置した客宅を無償点検サービスのため訪問中、客宅の軒先に脚立を立て、脚立に上り、接続箱から太陽光パネルへとつながっているケーブルの点検作業をしていた際、誤って、足を滑らせて、脚立より落下し、着地したところ、踵を負傷した。,建設業,その他の建設業,電気通信工事業,30～49,その他の装置等,用具,はしご等,墜落・転落,44
24,1,13～14,ースステーション脇のベランダへ各病室から集め出した、什器類の搬出作業を行なっていた。什器の小払し作業を平行して行なっていたが、小払しが間に合わず、大きなままを８名で持ち上げ、ベランダ腰壁と什器の間に手薬指を挟み、負傷した。,建設業,建築工事業,その他の建築工事業,10～29,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ巻き込まれ,26
24,1,11～12,共用トイレにて、配管（天井部）作業中、６尺立馬を２台設置した状態で作業をしていた際、立馬間の移動を行ったところ、立馬の脚元がずれ、床スリーブ穴に脚がはまり、バランスを崩して立馬上から落下した。手を地面につき、手首を骨折した。尚、立馬の脚がはまったスリーブ穴は元々予備のスリーブ穴であったが、不要となった為、同僚が、モルタル詰め作業を行っており、養生蓋を外していた状態であった。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,40
24,1,14～15,地下構造物の下床部より上の足場及び切梁の上で壁梁の組立作業中、配筋段取りを行っていたところ、誤って脚を踏み外し、落下した。尚、足場をはさんで壁の反対側に転落防止策が無い状態で、また落下防止ネットも無く安全帯の着用はしていたが使用していなかった。,建設業,土木工事業,上下水道工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落・転落,59
24,1,22～23,店舗の床張替を行う為、陳列棚の脚にジャッキを使用し、小さな台車を入れる作業中、ジャッキから陳列棚の脚が滑り落ち、床と陳列棚に挟まれ、負傷した。,建設業,建築工事業,その他の建築工事業,10～29,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ巻き込まれ,28
24,1,14～15,道床交換時、橋梁下に落下した道床バラストを整理中、葛に足をとられ、１ｍ下に転落。肩を強打した。,建設業,土木工事業,その他の土木工事業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落・転落,62
24,1,12～13,電柱上で横の小柱に電線を持続する作業を行っていたところ、移動のため胴綱をかけかえたはずがかかっておらず、落下。踵と第２胸ついを骨折した。,建設業,その他の建設業,電気通信工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,49
24,1,11～12,住宅建築現場で、資材を運搬中に資材を抱えた状態でつまづき、転倒。負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,10～29,物質、材料,材料,金属材料,転倒,36
24,1,15～16,喫煙の為休憩所に向かっていたところ、足がつまずき、転倒した。,建設業,建築工事業,その他の建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,48
24,1,16～17,現場にて舗装はぎ取り工程を重機で行い、はぎ取った舗装塊をバケットで集め２屯ダンプへ積み込んでいた際、一時手が空いていた被災者が作業主任の「手を出すな！」と言う指示を聞かず、３０センチ前後の大きさの舗装塊を手で抱えたところ、その塊が割れ、足先に落ち、負傷した。,建設業,土木工事業,その他の土木工事業,10～29,物質、材料,材料,その他の材料,飛来・落下,60
24,1,10～11,作業所にて、棚ラック取り付け工事の為、北側の壁に棚を取付ける作業中、６尺の脚立にのり棚受け金物を取り付けていたところ、足を滑らせ、落下した。,建設業,その他の建設業,その他の建設業－その他,1～9,その他の装置等,用具,はしご等,墜落・転落,52
24,1,11～12,天井下地組作業中、隣の足場に移る際、釘打機を持って引き金を引いたままだった為、釘打機の先が足にふれ、釘が出た。足膝の上に釘がささった。,建設業,建築工事業,木造家屋建築工事業,不明,動力機械,一般動力機械,その他の一般動力機械,激突され,46
24,1,10～11,工場内にて、換気扇フード取り付けの為、足場上（高さ１．５ｍ位）で作業中、鋼管パイプを取り付け、地面に降りるため、足場から飛び降りたところ、地面に落ちていた木ネジを踏み抜き、足裏に負傷した。　,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,激突,54
24,1,17～18,会社の工場でミニバックホーのエンジンを掛けたまま降りようとした際、レバーが着衣にひっかかり、ミニバックホーが回転し、巻込まれ、ハイド板に足がひっかかり、骨接した。,建設業,土木工事業,その他の土木工事業,1～9,動力機械,建設機械等,掘削用機械,はさまれ巻き込まれ,36
24,1,10～11,高速道路のＪＣＴ内ランプ右側にて、小型移動式クレーンにて乗用草刈機（製品）を樹台より現場内に荷降中、乗用草刈機で吊り上げた際、小型移動式クレーンが転倒し、ガードレールと小型移動式クレーンのアウトリガーの間に挟まれ、腓骨近位端開放骨折となった。,建設業,その他の建設業,その他の建設業－その他,10～29,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,転倒,27
24,1,14～15,盛土工事に使用する土を取る為、被災地の雑木処理中、横倒しの木の枝払いの作業を行っていたところ、木が動き、胸に当たった。,建設業,土木工事業,その他の土木工事業,1～9,環境等,環境等,立木等,激突され,54
24,1,11～12,仮設資材置場工場にて、発生廃材を処分用コンテナに投入の為、脚立に上り作業中、強風に煽られ、飛び降りたところ、踵を痛打し、骨折した。,建設業,建築工事業,その他の建築工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,47
24,1,10～11,住宅外壁補修工事にて、外壁を補修する為、住宅の横の木が障害になり、その木を伐採する作業中、伐採した木が足にはね返り、打撲、負傷した。,建設業,建築工事業,木造家屋建築工事業,1～9,環境等,環境等,立木等,激突され,55
24,1,10～11,水道工事中、材料の梱包をカッターであける時カッターがすべり手を負傷した。,建設業,建築工事業,建築設備工事業,1～9,その他の装置等,人力機械工具等,手工具,切れ・こすれ,29
24,1,11～12,作業員４名で、法裾から法肩に向かってモノレールのレール設置作業をしている際、レールが足りなくなり、法肩に停車中のモノレールでレールを運び上げる為、モノレールを資材置き場に走行させた。次に、モノレール荷台にレール部材を積み込むため、法裾の部材置き場までレール沿いに下っていた。走行していたモノレールを途中で追い抜き、下っている途中、腰に装着していた安全帯のフックがレール支柱にひっかかり、動けなくなったところ、走行していたモノレールに追突され、負傷した。,建設業,土木工事業,道路建設工事業,10～29,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,はさまれ巻き込まれ,45
24,1,15～16,休憩を行い、休憩後、同作業を続けようとし加工機のクラッチを入れたところ、９０°角度で停止することなく１８０°まで曲り、手親指第一指を骨接した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,10～29,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ巻き込まれ,54
24,1,16～17,倉庫にて、パイプサポート約１５０本をトラックから降ろし、整理・整備（潤滑油塗布）して、梱包作業中、荷卸ろし途中のトラックあおり部分に立てかけたパイプサポートが倒れ、脇腹に当たり、負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,物質、材料,材料,金属材料,崩壊・倒壊,74
24,1,12～13,オーガーを片づけようとオーガーに地面から約１ｍ上がった所にて、オーガーのバランスが崩れ、転倒。一緒に倒れ、頭を打った。,建設業,土木工事業,その他の土木工事業,10～29,荷,荷,機械装置,墜落・転落,73
24,1,18～19,移転立替工事の敷地内で後片付中、被災者がバックホウの移動をしてきたが、障害物（仮設配線）があった為、降りて作業中、他の作業員がバックホウの運転を申し出、操作したところ、バックホウの操作設定が変更されていた為、アームを上げるつもりが左施回となり、被災者の顔面に接触した。,建設業,その他の建設業,その他の建設業－その他,1～9,動力機械,建設機械等,掘削用機械,激突,67
24,1,3～4,資材置き場で、４ｔダンプの荷台後部ドアを閉める際、手中指と薬指を挟んだ。,建設業,土木工事業,道路建設工事業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ巻き込まれ,34
24,1,15～16,ローカ照明取替工事中、脚立を踏み外し、足首を捻挫した。,建設業,その他の建設業,電気通信工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,41
24,1,8～9,加工場において、同現場で使用する鉄筋材料を加工台へ移動しようとした際、その材料を取り出す為、別材を吊り上げたところ、材料が荷崩れをおこし、加工台と材料に足をはさみ、骨接した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,不明,物質、材料,材料,金属材料,崩壊・倒壊,73
24,1,10～11,ＦＬから約１．５ｍ上のフロアーに搬上し、ほぼ上がった所でアンカーがぬけ、丸カン、ワイヤー、チェーンブロックが降ち、ポンプが下のフロアーへ落ちたところ、下にいた被災者の足にポンプ箱の端があたった。,建設業,建築工事業,建築設備工事業,1～9,物質、材料,材料,金属材料,飛来・落下,51
24,1,9～10,作業用足場を撤去中、足場材の裏側のクサビを抜こうとしたところ、見えずらく、硬かったため、思い切りハンマーで叩いた際、誤って手薬指を打った。,建設業,建築工事業,木造家屋建築工事業,1～9,その他の装置等,人力機械工具等,手工具,激突され,29
24,1,0～1,線構内連絡線橋梁区間にて、埋設トラフ撤去作業中、後ずさりした際、足がバラストに乗り、足を滑らし、バランスを崩し、３．９ｍ下の河川敷に墜落。負傷した。,建設業,その他の建設業,電気通信工事業,不明,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落・転落,20
24,1,10～11,菅内維持修繕業務の路肩移動規制をして、雑木伐採作業中、パッカー車の後ろで作業していたところ、走行中の２ｔトラックが、後方にある標識車の右後方に接触し、そのまま走行。接触し、負傷した。,建設業,その他の建設業,その他の建設業－その他,30～49,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）,35
24,1,8～9,床に置いたパネルの仮打ち材を外そうとした際、足が滑り、転倒した。安全靴を履いていたが、床用養生シート面が露で濡れており、滑りやすくなっていた。転倒の際、手を床に強くつき、手首骨折した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,56
24,1,11～12,作業車の駐車場兼資材置き場にて、駐車止めのブロックを設置中、ブロックを下ろす際、地面とブロックに挟まれ、手小指を負傷した。,建設業,土木工事業,その他の土木工事業,50～99,物質、材料,材料,その他の材料,はさまれ巻き込まれ,52
24,1,11～12,パイプの杭を打つ作業中、お尻を地面に着ける状態で、鉄パイプの長さの中間で両手でパイプを支え、同僚が上から大ハンマーで打っていた。ある一定の長さを打ち、その状態でと被災者が話し合い、「ここまでで良いな」と言いつつ、被災者が立ち上がろうとし、手をパイプの上に置いて立ったところ、反動で被災者の手を打った。,建設業,建築工事業,その他の建築工事業,10～29,その他の装置等,人力機械工具等,手工具,激突され,60
24,1,10～11,電柱建柱工事にて、電柱元口部分に台車を付け、電柱元口部分を被災者が押さえ、ゆっくり移動していたところ、電柱元口部分の台車が横のコンクリート壁にこすれ、傾き、被災者が電柱元口部分と台車のすき間に手中指、手環指をはさんだ。,建設業,その他の建設業,電気通信工事業,1～9,動力機械,建設機械等,その他の建設用機械,はさまれ巻き込まれ,41
24,1,11～12,ガス供給管撤去工事にて、供給管撤去の為、ブレーカーでアスファルトを割り終えたところ、鉱滓があり、ブレーカーで割った鉱滓を重機ですくう為、その場から移動する際、鉱滓とアスファルトの段差につまづき、手に持っていたブレーカーのスイッチが入り、チスの先端が足の親指付近にあたり、骨折した。,建設業,その他の建設業,その他の建設業－その他,1～9,動力機械,建設機械等,解体用機械,激突され,36
24,1,11～12,トラックから山積みにしてある鉄製型枠をおろす作業中、下部に敷いてある枕木がはずれ、型枠がくずれ、腰と背中に落ち、下敷きになった。,建設業,建築工事業,その他の建築工事業,1～9,物質、材料,材料,金属材料,崩壊・倒壊,55
24,1,9～10,玉掛をする為、ユニットハウスの上に登り、玉掛を実施した。ユニットハウスの上は凍結していた。降りる際、後ろ向きになり、革手袋をしている手で角につかまり、徐々に降り、胸部付近まで角がきて、踏台に足をかけようとしたところ、手が滑り、転落。隣に駐車中の６ｔトラッククレーンのバタ板に当り、地上に横転した。,建設業,建築工事業,その他の建築工事業,1～9,その他の装置等,用具,はしご等,墜落・転落,50
24,1,10～11,顧客先である工場内にて天井クレーンの点検作業を終えて高所作業車から降りようとした際、ステップのところで誤って滑って転倒した。その際膝を負傷した。,建設業,その他の建設業,機械器具設置工事業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,47
24,1,10～11,鉄板の整理作業中、吊り上げようとした鉄板が隣の鉄板に引っ掛かり、浮き上った。浮き上った鉄板に気づかず移動した為、鉄板と地面との間に被災者の足甲が挟まり、骨折した。,建設業,土木工事業,その他の土木工事業,30～49,物質、材料,材料,金属材料,飛来・落下,50
24,1,14～15,釘打機を片付ける際、コンプレッサーの電源をコンセントから抜いていたが、タンク内に溜まっていた少量のエアーによって釘打機が作動し、釘が飛び出た。膝部分に刺り、骨を貫通した。,建設業,建築工事業,木造家屋建築工事業,1～9,その他の装置等,用具,その他の用具,激突,24
