単語,出現回数
避難,311
地震,289
発生,261
情報,239
原子力,209
被害,190
被災,161
訓練,155
緊急,113
事業,110
関東大震災,106
国土,103
必要,102
強靱,86
台風,83
海溝,82
東京,82
大震災,80
人口,75
津波,75
設置,68
強化,64
復興,61
気候,60
外国,58
大雨,58
自然,54
変動,54
業務,54
民間,52
当時,51
対象,51
技術,51
震災,50
ボランティア,50
場合,50
高齢,50
具体,49
生活,48
昭和,47
想定,47
耐震,47
盛土,47
東日本,45
割合,44
備蓄,44
その後,43
中央,43
静岡,43
意識,43
