単語,出現回数
クレーン,190
鉄骨,90
天井,88
加工,88
鋼材,72
搬送,69
移動,68
状態,68
使用,66
当該,63
運転,62
機械,61
製品,61
トラック,60
荷重,58
溶接,56
操作,54
フォークリフト,54
金属,50
下敷き,49
コイル,48
落下,47
事業,46
重量,45
頭部,45
走行,44
装置,43
確認,42
激突,42
自動,38
設置,38
荷台,38
部品,35
同僚,35
つり上げ,34
転落,32
運搬,32
クランプ,31
掛け,30
鉄板,30
回転,30
こと,30
プレス,29
ｍｍ,29
つり,28
墜落,28
発生,28
ロープ,27
塗装,27
架台,27
