単語,出現回数
予算,921
事業,387
地震,359
情報,263
交付,255
国土,220
発生,213
被災,210
安全,196
技術,174
交通省,163
避難,161
開発,154
防止,151
被害,141
総合,137
元年,126
復旧,123
訓練,122
消防,110
緊急,105
津波,102
特別,99
うち,95
土砂,94
観測,92
豪雨,86
強化,85
耐震,84
南海,83
復興,81
必要,79
派遣,76
トラフ,75
教育,73
法人,72
機能,72
参照,70
火災,66
危険,66
火山,63
漁村,63
国立,62
消防庁,62
資本,61
補助,60
提供,58
設備,58
都道府県,57
農山,56
