単語,出現回数
被災,493
作業,311
ところ,241
クレーン,190
ため,178
死亡,157
工場,139
もの,139
鉄骨,90
天井,88
加工,88
発見,75
鋼材,72
搬送,69
移動,68
状態,68
使用,66
当該,63
運転,62
機械,61
製品,61
トラック,60
荷重,58
ｃｍ,58
溶接,56
操作,54
フォークリフト,54
金属,50
下敷き,49
コイル,48
落下,47
労働,47
事業,46
重量,45
頭部,45
走行,44
装置,43
確認,42
激突,42
ｋｇ,40
自動,38
病院,38
設置,38
荷台,38
トン,38
部品,35
同僚,35
つり上げ,34
転落,32
運搬,32
