単語,出現回数
地震,447
避難,393
被災,313
原子力,262
情報,209
事業,205
発生,191
被害,189
能登半島,179
復旧,162
強化,158
訓練,155
石川,153
復興,151
国土,137
緊急,133
生活,132
必要,123
強靱,112
能登,99
提供,98
出典,92
設置,91
輪島,88
応急,81
技術,76
民間,72
火山,69
熊本,66
環境,63
市町村,63
管理,62
物資,62
施策,61
委員,61
省庁,59
南海,59
広域,58
派遣,57
トラフ,57
規制,56
業務,55
ボランティア,55
住宅,54
機能,54
システム,54
大雨,52
市町,52
決定,52
://,51
