単語,出現回数
避難,376
火山,335
被災,237
地震,229
原子力,229
発生,198
情報,183
..,178
訓練,178
出典,173
被害,159
事業,155
噴火,152
__,151
国土,126
緊急,125
石川,109
復旧,104
必要,100
救助,90
生活,87
強靱,86
登山,85
://,81
設置,79
復興,75
強化,71
参照,71
長野,67
協議,63
技術,62
能登半島,61
決定,60
)(,60
派遣,59
委員,59
研究,58
御嶽山,57
対象,57
市町村,57
規制,56
管理,55
ホームページ,53
気候,52
変動,52
最大,52
民間,52
医療,50
業務,49
応急,48
