単語,出現回数
避難,600
原子力,280
情報,226
訓練,174
発生,171
被害,155
地震,150
被災,147
緊急,141
必要,126
事業,118
教育,111
国土,105
感染,100
津波,99
生活,97
海溝,91
大雨,91
強靱,90
ボランティア,90
学校,85
７月,82
技術,82
行政,82
安全,70
業務,69
行動,65
参照,65
設置,64
コロナ,60
対象,60
事例,60
具体,58
女性,58
新型,57
都道府県,57
提言,56
民間,54
盛土,53
ウイルス,52
強化,51
個別,51
環境,50
想定,50
防止,49
効果,49
３月,48
チーム,48
運営,48
人材,48
