年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
24,1,23～24,カーゴ台車上段の板に乗り、ラック２段目の商品を出庫した後、カーゴ台車上段の板から裸足で飛び降りたところ、負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,激突,47
24,1,11～12,港湾内に停泊中の船の船底にて、船底から１．５ｍ程のフラコンの上に乗り、フラコン上に積み上げてあった米袋（３０ｋｇ）をネットの上に積みかえる作業中、持っていた米袋で足元がよく見えず、くぼみにはまり、転倒。足首を負傷した。,貨物取扱業,港湾運送業,港湾荷役業,10～29,荷,荷,荷姿のもの,転倒,51
24,1,11～12,トラック荷台上で鉄骨角パイプを１、２段目積込完了後、３段目に角パイプを積込開始する際、吊荷を車上で向きを変更しようとしたところ、足元が滑り、足が落ち、上部フレームで脇から腰付近を打撲した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,荷,荷,荷姿のもの,転倒,66
24,1,12～13,営業所にて、配山からピッキングし、仮置として積み上げていた等辺山形鋼が崩れ、足の甲に落下した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,物質、材料,材料,金属材料,崩壊・倒壊,46
24,1,8～9,電気温水器の配送助手業務中、トラック荷台からトラックのゲート（昇降機）迄引っ張っていったところ、トラックの荷台の床の滑りが悪く、温水器を思い切り引っ張った際、梱包されていた木枠が外れ、後ろに倒れ、そのままゲートから落ち（約１ｍの高さ）、鎖骨を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,31
24,1,12～13,会社の駐車場にて、車から荷物を取るため、運転席のドアを開け、荷物を取り、ドアを閉める際、よそ見をしたままドアを締め、手の人差し指を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,はさまれ巻き込まれ,35
24,1,10～11,庫内にて、商品にシールを貼付している際、ハンドリフトでパレットを上げている状態で作業しており、パレットの側面に足があるのに気付かず、パレットを降ろした。足が挟まれ、打撲した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,300～499,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,60
24,1,16～17,角材を載せる作業中、角材を置いてケースの上から（１．６ｍ）着地した際、脛がリングに当たり、脛を負傷した。,貨物取扱業,港湾運送業,港湾荷役業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落・転落,27
24,1,9～10,紙の平判パレット２段積みをフォークリフトにてホームから卸ろし、倉庫横のスペースに仮置する為、右後方に移動した際、製品が揺れ、傾きかけた為、フォークリフトから降り、製品の側面に回ったところ、上段の製品が落下し、太ももに当たり、負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,荷,荷,荷姿のもの,飛来・落下,46
24,1,13～14,商品を棚入れ補充する際、床面に落ちていた段ボール片を踏み、気付かないまま足に力を入れたところ、足を滑らし、前方に転倒した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,500～999,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,61
24,1,10～11,１０ｔトラックに乗務し、自動車船で使用する道具の引き取り作業中、自動車船で使用しなくなった道具を引き取り、岸壁へ持っていく為、岸壁から道路へ出て、時速４０ｋｍで走行していた際、縁石に気付くのが遅れ、縁石へ車体が接触した。脇腹がひじ掛けに当たり、負傷した。,貨物取扱業,港湾運送業,港湾荷役業,300～499,物上げ装置、運搬機械,動力運搬機,トラック,激突,51
24,1,17～18,右折の為、減速し、対向車があった為、停止したところ、後続車が脇見の為に気づかず、ノーブレーキで追突した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）,41
24,2,8～9,倉庫において倉庫の屋根の雪下ろし作業をする際、安全帯を架ける親網を張るスペースを確保する為、雪庇を落としていた。その際、誤って足を踏み外し、約５メートル下に落下し負傷した（肋骨六箇所骨折）。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落・転落,35
24,2,8～9,足場で荷物の搬入時、建設用の足場の隙間に引いてあった木べニヤに足を踏んだところ、薄いベニヤだと知らず足を落とし、足で起き上がろうとしたが耐えきれず、足の足首が曲がり、くるぶしにヒビが入った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,動作の反動無理な動作,26
24,2,16～17,シンクロカット機でポリバンロープをカットする作業を行っていた。（５本取り）３本カット完了後、次のカットの山数（幅）を確認する為、ポリバンロープの端を手で持ったところ、誤って足でフットスイッチを踏んでしまった為、ローラーが動き、ポリバンロープとローラーの間に中・薬・小指の第一関節が巻き込まれた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,動力機械,一般動力機械,その他の一般動力機械,はさまれ巻き込まれ,44
24,2,16～17,当社倉庫内にて貨物の積み込み作業中、トラックのあおりから荷台へ降りる際（段差６０ｃｍ）、足元にあったラッシングベルト（貨物固定機具）を踏み足首をひねった。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,激突,33
24,2,14～15,作業エリア内でフォークリフトが前進走行中、エリア内前方に空台車および空パレットがあり、これを避けて走行しようとしたが、エリア内に作業者（被災者）を確認したため、注意喚起の声かけをして、お互いに認識確認をした。その後、空台車を避けようとフォークリフトが左旋回した際、リフト右後方部と空台車が接触、そのまま被災者の方向へ移動した台車が、被災者の脚へ接触した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,47
24,2,10～11,塩倉庫作業を手伝うため、野積場を横切り塩倉庫前通路に移動しようと、野積場側より隔壁をよじ登り通路側へ降りようとした際、隔壁が割れ一緒に落下。両脚が隔壁の下敷きになり負傷した。,貨物取扱業,港湾運送業,港湾荷役業,50～99,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落・転落,43
24,2,17～18,センター内でＡ商品のセット作業中、棚の下段にあった約３ｋｇの米をしゃがんで取り、胸の高さの位置にある棚へ置こうとしたところ、腰に負担が掛かり、腰を痛めた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,荷,荷,荷姿のもの,動作の反動無理な動作,48
24,2,16～17,トラックの荷台上で荷固め作業中、足を滑らせ転落し、負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,34
24,2,9～10,事業所において、アングルボックスの移動作業中、後方から来たフォークリフトの左後部と接触し、足を負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,物上げ装置、運搬機械,動力運搬機,フォークリフト,はさまれ巻き込まれ,52
24,2,15～16,３階フロアにてピッキング作業時、集品後、商品を両手で抱え棚通路から出荷ラインへ移動中、床面カーペットのめくれ部分につまずき転倒。転倒した際、胸部を出荷ローラーに強打し肋骨にヒビ。膝を床面について打撲となった。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,その他の装置等,用具,その他の用具,転倒,54
24,2,16～17,倉庫内において、パレットの積み替え作業を終了しごみを所定の場所に捨てる際、近くにいた社員が運転するフォークリフトが方向転換のために急にバックしてきたため、右後輪で足の甲を踏まれ、負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,23
24,2,8～9,ピアノを搬出する際、玄関から外階段が４段有り、最後の段に鉄板が置いて有り、足を掛けたところ、鉄板がずれ足が滑り、足首を捻った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物質、材料,材料,金属材料,転倒,50
24,2,9～10,エアー式釘打機を用い、角材を組み合わせながら部品を据え付ける作業を行っていた。作業台の端からはみ出した角材が、宙に浮いた不安定な状況で発射したことから、打進角度が斜めとなり、釘が添手親指を突き抜けた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,動力機械,木材加工用機械,その他の木材加工用機械,飛来・落下,37
24,2,5～6,商品車を納入場所に降ろし終わり、トラックへ戻る途中、凍結した路面で足元を凍らせ転倒し、背中を強打した。転倒時、辺りはまだ暗く、氷の上に雪が積もっている状態だったので、路面が凍結していることには気がつかなかった。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,37
24,2,10～11,カツオをモッコ（カツオの入物）に入れる際、手の平に骨が刺さった。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,物質、材料,材料,その他の材料,切れ・こすれ,56
24,2,9～10,２本の仕分シュートを使用し作業を行っていた際、被災者が作業していたシュートの隣のシュートの荷物が集中して落下してきたため、荷物を乗せかえようと焦り、シュートの上に乗り移動した。シュート（高さ約６０ｃｍ）から降りようとしたところ、シュートに立てかけてあったフリーローラーに足を挟み、外れずに転倒。足首を負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,その他の装置等,人力機械工具等,人力運搬機,転倒,35
