単語,出現回数
避難,376
火山,335
被災,237
地震,229
原子力,229
発生,198
情報,183
訓練,178
被害,159
事業,155
噴火,152
国土,126
緊急,125
石川,109
復旧,104
必要,100
救助,90
生活,87
強靱,86
登山,85
設置,79
復興,75
強化,71
参照,71
長野,67
協議,63
技術,62
能登半島,61
派遣,59
御嶽山,57
対象,57
気候,52
変動,52
最大,52
民間,52
医療,50
業務,49
応急,48
都道府県,47
能登,47
教育,46
チーム,46
改正,43
具体,43
行政,43
想定,43
津波,43
法律,42
輪島,42
目的,41
