年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型
H21,1,12～13,被災者は午前0時から午前8時までの警備業務（車による巡回）に従事していたが、帰宅時間になっても被災者が帰宅しなかったため、警察が捜索を行ったところ、翌日午前10時頃、警備場所付近の海底（水深約3m）に沈没した車から溺死した被災者を発見した。,清掃・と畜業,清掃・と畜業,ビルメンテナンス業,50～99,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,おぼれ
H21,1,14～15,被災者は同僚2人とパッカー車で前日に収集できなかったゴミの収集作業を行っていた。被災者の運転で災害発生場所に到着しゴミの収集作業を始めた。被災者はゴミ袋を1つ持ちパッカー車に運ぶ時に仰向けに転倒した。被災者のうめき声に同僚が気付き救急車を呼んで市立病院に搬送したが、同日死亡した。,清掃・と畜業,清掃・と畜業,その他の廃棄物処理業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒
H21,1,23～24,被災者は、事業場内の仮眠室において20時頃より休憩を取っていた。約４時間近く経っても戻らないため仮眠室内を確認しに行った同僚の作業者により、意識消失状態で発見された。,接客娯楽業,その他の接客娯楽業,その他の接客娯楽業-その他,50～99,その他,起因物なし,起因物なし,その他
H21,1,21～22,被災者含め4人は、切羽上半部の発破作業のため、ドリルジャンボを使用し、穿孔、火薬の装てんを終え、被災者が切羽下端部の結線作業を行っていたところ、切羽上方約4mから岩塊（重量約360kg）が肌落ちし、被災者を直撃した。,建設業,土木工事業,トンネル建設工事業,10～29,環境等,環境等,地山、岩石,崩壊、倒壊
H21,1,15～16,店舗兼住宅の庇部分の除雪のため、被災者はトラクター・ショベルのバケットに乗せられ、庇の一部の雪庇を落とした後、当該庇部分（高さ4.56m、幅85cm）に乗り移り、足元の雪を踏み固めていたところ、バランスを崩し墜落した。,清掃・と畜業,清掃・と畜業,その他の清掃・と畜業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H21,1,11～12,法面復旧工事において、下流側土場で上流側谷止工のふとん籠に使用する再生骨材を小袋（約25kg）に入れ、上流側に運搬するため小袋を鉄箱に8個積み、この鉄箱3箱（総重量632.5kg）を連結し単管で製作したガイド上を電動ホイストを使用して運搬中、ホイストのワイヤロープに取付けられた滑車を固定している番線が切断し、その反動で傍らで運搬の合図を行っていた被災者に滑車が飛来した。,建設業,土木工事業,砂防工事業,10～29,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,飛来、落下
H21,1,13～14,スキー場終点駅舎において、リフト滑車等の日常点検のため点検台に上がり移動中、点検歩道から約1.4mの位置にあるリフトを動かすプロペラシャフトの下を潜り抜けようとしたところ、当該シャフトの突起物であるグリース注入口（突起高さ約1.2cm）に衣服（防寒着のフード又は襟）が巻込まれ、身体は当該シャフトを軸に数回、回転し被災した。,接客娯楽業,その他の接客娯楽業,その他の接客娯楽業-その他,500～999,動力機械,動力伝導機構,動力伝導機構,はさまれ、巻き込まれ
H21,1,4～5,国道の拡幅除雪作業をトラック2台、ロータリー除雪車、標識車を使い行っていた。午前4時頃、被災者は駐車帯に同僚とパトロール車で移動し同僚から「ロータリーが入ってくるので、オーガが止ったら助手を代わるように」と指示されたが、視線誘導柱の横でロータリー除雪車の工事写真を撮影中の同僚が車道側に立っていたため「危ないから下がれ」と注意された後、国道を横断中に乗用車にはねられた。,建設業,土木工事業,その他の土木工事業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,1,8～9,被災者は作業者3人と埋め戻し作業に従事しており、作業者2人がドラグ・ショベルの前方に位置し、被災者1人だけがドラグ・ショベルの後方の位置で鍬を使い路肩の成形を行っていた。ダンプトラックが土砂を運搬してきたため、ドラグ・ショベルを約70cmほど後進させたところ、被災者はクローラにひかれた。,建設業,土木工事業,河川土木工事業,10～29,動力機械,建設機械等,掘削用機械,はさまれ、巻き込まれ
H21,2,16～17,木造家屋（旧洋裁工場）の解体工事現場において、被災者は16時ごろに金属廃材を積んだダンプトラックを運転するため入場したが、ダンプトラックの荷が満載になっていなかったため待機することとなった。現場では最後の壁2面の解体作業中、グラップルで壁のうち1面を引き倒したと同時にもう1面の壁が倒れ、付近を歩いていた被災者に柱が当った。,建設業,建築工事業,その他の建築工事業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊、倒壊
H21,2,9～10,被災者は、運転手と二人でごみ収集の個別委託先であるホテルにおいて、可燃ごみの収集作業を行っていた。ごみ収集車のテールゲートを開けて可燃ごみを積込み、作業を終えたので、運転手が被災者に声をかけて運転席にあるスイッチでテールゲートを閉めた時に、悲鳴が聞こえたので、後部を見に行ったところ被災者が倒れていた。,清掃・と畜業,清掃・と畜業,ビルメンテナンス業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ
H21,2,10～11,ゴミ収集作業（戸別収集）において、ゴミ収集車の運転者と収集作業者2人により作業中、ゴミ収集車が町道を左折後、後進運転したところ、ゴミ収集車の後方にいた被災者を左後輪でひいた。,清掃・と畜業,清掃・と畜業,その他の廃棄物処理業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,激突され
H21,2,16～17,国道の電線工事現場において、被災者は片側交互通行規制によりセンターライン近くで、交通誘導業務（委託業務）を行っていたところ、走行して来た乗用車が速度を落とさず直進して来たため、反対車線側に退避しようとしたが、乗用車は急ブレーキを掛けながら、センターライン側へ寄り被災者がはねられた。なお、現場道路は、見通しの良い直線道路であり、乾燥路面だった。,その他の事業,その他の事業,警備業,30～49,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,2,23～24,スケトウダラ刺網漁のため、被災者含め5人が漁船（9.7t）に乗っていた。沖合で揚網作業がほぼ終了したころ、船体が徐々に右舷側へ傾き、波を受けてそのまま転覆した。転覆直前に全員が海に飛び込み、4人は僚船に救助されたが、被災者は行方不明となった。,畜産・水産業,水産業,漁業,1～9,物上げ装置、運搬機械,乗物,その他の乗物,交通事故（その他）
H21,2,15～16,川に架ける橋の新設工事において、仮桟橋上の300tクローラクレーンで、基礎杭施工用の定規として使用するH鋼材を載せたユニフロートをつり上げた。このユニフロートには被災者を含め3人が搭乗していた。川面で当該クレーンでつっていたユニフロートを180度回転させようとしたところ、ユニフロートに載せていたH鋼材と川面から出ていた既設のH鋼杭が接触し、ユニフロートに乗っていた被災者が川に墜落した。,建設業,土木工事業,橋梁建設工事業,10～29,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,激突
H21,3,9～10,被災者は営業先に向かうため、社有車を運転し国道を走行中、対向して走行してきた乗用車がセンターラインをはみ出し、前方の車と接触後、さらに被災者の乗用車と正面衝突した。現場は直線道路で、路面は乾燥していた。,建設業,その他の建設業,機械器具設置工事業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,3,15～16,水管からの漏えい等により修理が予定されていた配管ピットの蓋が開いていたため、同僚がこのピットに入ったところ、ピット底に倒れている被災者を発見した。消防レスキューにより救出されたが、同日死亡が確認された。,清掃・と畜業,清掃・と畜業,ビルメンテナンス業,500～999,環境等,環境等,高温・低温環境,その他
H21,3,6～7,被災者は朝刊の配達のため、軽乗用車を運転し公道を走行中、信号機のない交差点で、左側から来た乗用車と衝突し、車外に放り出された。,商業,小売業,新聞販売業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,3,7～8,チップサイロからトラックにチップを積み込むにあたり、被災者は単独でサイロ及び配管の点検作業を行っていた。その後、サイロの屋根に上がっていたところ、当該屋根（勾配約16度）から約8m下の地面に墜落した。,製造業,木材・木製品製造業,製材業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H21,3,17～18,被災者は、自家用の軽自動車を運転し個人宅での訪問営業業務を終え、次の営業先に向かうため市道を走行していた。信号のない交差点に差し掛かったところ、左側から来た乗用車と出合い頭に衝突し、その反動で右前方の路外へ転落した。,商業,小売業,自動車小売業,50～99,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,3,18～19,被災者は、トラックヤードにおいて、トラックへの壁紙ロール（直径25cm、長さ80cm、重量10kg）の積み込み作業中、トラックの荷台上に積み上げられた荷（地上からの高さ2.2m）の上に乗り、荷受け作業を行っていたところ、直前に被災者後方に積み上げられていた荷が崩れ、この勢いで2.2m下のコンクリート床面上に墜落した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H21,4,5～6,漁港の防波堤から約600m沖合で、被災者と事業主の2人で小型漁船（FRP船2.4t）に乗り、前日に仕掛けた刺し網を引き上げようとしたところ、右舷から大きな波をかぶり転覆し、海上へ投げ出された。事業主は救助されたが、被災者は行方不明となった。,畜産・水産業,水産業,漁業,1～9,物上げ装置、運搬機械,乗物,その他の乗物,おぼれ
H21,4,16～17,被災者は2階の開口部から、木片を1階のトラックの荷台に落とし入れる作業を行うため、開口部から階下をのぞいたところ、仮設の手すりが外れ、高さ3.8mから墜落した。なお、外れた手すりは同僚が仮置きしたもので、固定されていなかった。また、被災者は保護帽を着用していなかった。,建設業,建築工事業,木造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,開口部,墜落、転落
H21,4,14～15,自社車庫の組立て作業において、代表取締役がトラクター・ショベルを運転してバケットを地上から約4.2mの高さにセットした。これに被災者が梁を伝って乗り移り、屋根部材の垂木設置作業を行っていたところ、地上に墜落した。作業にあたり作業床の設置、安全帯の使用等の墜落防止措置は講じられていなかった。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,1～9,動力機械,建設機械等,整地・運搬・積込み用機械,墜落、転落
H21,5,5～6,被災者は、重量4.9tの漁船に乗り当該船舶の船長と2人で、漁港から1.5km沖合でのホタテの座布団籠（ホタテの養殖のため、稚貝を入れるための籠）揚げ作業を行った後、帰港する途中に甲板より海中に転落し溺死した。なお、当該船舶には救命胴衣が備え付けられていたものの、災害発生時着用させられていなかった。,畜産・水産業,水産業,漁業,1～9,物上げ装置、運搬機械,乗物,その他の乗物,おぼれ
H21,5,14～15,被災者が1人で水道管メーターの交換作業のため、スコップで地面（縦95cm、横80cm、深さ105cm）を掘っていたところ、隣にあったホームタンク（容量490リットル）が倒れて、掘った穴との間にはさまれた。,建設業,土木工事業,その他の土木工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,崩壊、倒壊
H21,5,14～15,鉄筋コンクリート廃材から再生資材を製造する作業において、被災者は、プラントで小割りされた廃材から鉄筋を取り除くため、トラクター・ショベルが地面に広げた廃材から鉄筋を拾い集める作業に従事していたところ、廃材を広げるためにプラントから後進してきたトラクター・ショベルの左後輪にひかれた。,清掃・と畜業,清掃・と畜業,産業廃棄物処理業,30～49,動力機械,建設機械等,整地・運搬・積込み用機械,激突され
H21,6,15～16,被災者は一人で、食用馬を飼育するために借りていた放牧地の牧柵修理や沢沿いに自生している楢の木の伐倒作業を行っていた。チェーンソーで胸高直径27cmの楢の木の伐倒作業を行った被災者は、当該立木が倒れなかったため自立状態のまま放置し、次の立木の伐倒作業にかかった。その後、自立していた楢の木が倒れ、被災者を直撃し、その下敷きとなった。,畜産・水産業,畜産業,畜産業,1～9,環境等,環境等,立木等,崩壊、倒壊
H21,6,8～9,被災者は、ゴミ収集車を運転して災害発生現場のゴミ置き場に停止させ、同僚2人とともにゴミの収集を行っていたところ、ゴミ収集車が後進してきたため、これを止めようとゴミ収集車の後ろに回り込み、塀との間にはさまれた。ゴミ収集車のエンジンは停止されておらず、ギアはニュートラル、サイドブレーキを引いていたが、車止めは使用されていなかった。現場の傾斜は約3度であった。,清掃・と畜業,清掃・と畜業,産業廃棄物処理業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,6,7～8,被災者が運転する社用車で会社から建設現場に同僚1人を助手席に乗せ、峠を下っていた。被災者が前方の車を追い越すため、センターラインをはみ出したとき、対向車が来ていたため、それを避けるためハンドルを切ったところ、対向車線側のガードロープの支柱に激突。被災者は死亡、同乗していた同僚は重体（生命に別状なし）。,建設業,建築工事業,その他の建築工事業,30～49,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,7,9～10,被災者は、事業場から市内へ業務のため会社所有の乗用車を使用して村道を走行していた。被災者が交差点に差し掛かったところ、一時停止標識を見落として右方から直進してきたワゴン車が、被災者の運転する乗用車の右側面に衝突し、さらにその反動で被災者の車は路外へ逸脱し大破した。,製造業,その他の製造業,その他の製造業-その他,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,7,9～10,客先に家具の配送を行い、玄関の外の通路で家具から解いた段ボール等を回収するとき、後ろ向きに倒れた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,その他,起因物なし,起因物なし,転倒
H21,7,10～11,被災者はドラグ・ショベルを運転し集材道を設けるため、勾配約32度の斜面に道付けをしていたところ、作業道が崩壊してドラグ・ショベルとともに50.5m転落し、被災者は運転室内で身体を内装物にはさまれた。崩落した箇所は、岩混じりの砂質様の土砂で、長さ約19m、幅約2.3mであった。,農林業,林業,木材伐出業,30～49,環境等,環境等,地山、岩石,墜落、転落
H21,7,10～11,納屋（木造）の建設工事において同納屋の庇の骨組みを取付ける作業を行っていた被災者は、小型移動式クレーンで水平につり上げた丸太を取付るにあたり、同庇の骨組である水平に設置された角材（幅10cm、長さ1.7mで仮組されていたもの）を足場としていたところ、同水平材が外れた（釘やつり材等の水平材の支えが外れ）ために約5m下の地面へ墜落した。被災者は、保護帽及び安全帯は未着用だった。,畜産・水産業,畜産業,畜産業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H21,7,3～4,被災者は牧場から競馬会関係施設まで競走馬を輸送中に、高速道路下り線で、被災者ら2人が運転する馬運車（大型トラック）が故障したため、路肩に停車し、被災者が車両の前で点検していたところ、大型トラックに追突された。被災者は追突の衝撃で動いた馬運車の下敷きとなった。馬運車に乗車していた同僚1人も負傷した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,7,17～18,空き住宅のリフォームのため、被災者は1階の外壁、事業主は建物2階の塗装を行っていた。事業主が被災者に作業終了を伝えに行ったところ、地面に倒れている被災者を発見した。事業主は救急車を呼び病院へ搬送したが、翌日に死亡した。なお、被災者は保護帽及び安全帯は着用していなかった。,建設業,建築工事業,その他の建築工事業,1～9,その他,分類不能,分類不能,分類不能
H21,8,7～8,漁港内の浚渫作業のため、引船で起重機船を作業場所まで曳航し、起重機船を固定するため船外機船に係留ロープを渡したところ、船外機船が引船と起重機船の間に回り込み転覆、そのまま起重機船の下に潜り込んだ。船外機船に乗船していた2人のうち1人はすぐに海中より浮かび上がり救助されたものの被災者は浮かび上がらず、その後、海中を捜索していたダイバーにより起重機船の船底から発見された。,建設業,土木工事業,その他の土木工事業,30～49,物上げ装置、運搬機械,乗物,その他の乗物,交通事故（その他）
H21,8,7～8,被災者は、コンブ漁のため海岸と並行する国道の路肩に軽トラックを停車させ、そのそばに座って準備作業をしていたところ、加害者の大型トラックが軽トラック3台に追突したため被災者もその事故に巻き込まれた。なお、この追突事故で、作業者等4人が被災した。,畜産・水産業,水産業,漁業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,8,7～8,被災者は、積載形トラッククレーン（つり上げ荷重2.93t）により、ミニドラグ・ショベル（重量約1.2t）を河川に降ろすため、クレーンの横に立ち、操作レバーで作業していたところ、クレーンが横転した。被災者は横転したクレーンに激突され、河川の周囲に設置されていた柵との間に体をはさまれた。単独作業であり、アウトリガーの張り出しはしていなかった。,建設業,土木工事業,その他の土木工事業,10～29,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,激突され
H21,8,14～15,被災者は、木造2階建個人住宅外壁塗装工事現場において、午後の休憩の後、屋根の破風板の塗装作業を行うため、塗料缶を片手に持ち、住宅西側に設置の枠組足場（3層6スパン、高さ5.12m）の昇降階段を昇る途中、3層目の手前でバランスを崩し、昇降階段から4.35m下の地面に墜落、死亡した。昇降階段には、手すり及び交差筋かいはなく、足場には墜落防止措置が講じられていない箇所が認められた。,建設業,建築工事業,その他の建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落、転落
H21,8,10～11,製紙工場において、建物の屋根の排水溝等の清掃作業を3人で行っていた。10時休憩後、被災者が他の作業者に「やり残したことがある」と言い、1人で別の場所へ移動したため、残り2人で作業を行っていた。その後、製紙工場の従業員が大きな音を聞いて音のした方向を見たところ、被災者が高さ5.52mの屋根から墜落していた。被災者の両手は黒こげになっていた。,建設業,その他の建設業,その他の建設業-その他,10～29,その他の装置等,電気設備,送配電線等,感電
H21,8,7～8,畑の改良工事において、被災者はブル・ドーザーにエンジンオイルを注入後、自らエンジンをかけた。ギアが後進（2速）に入り、また、駐車ブレーキを引いていなかったため後進し、クローラとステップ等との間に巻き込まれ、地上に墜落した。,建設業,土木工事業,その他の土木工事業,30～49,動力機械,建設機械等,整地・運搬・積込み用機械,はさまれ、巻き込まれ
H21,9,13～14,被災者と代表の二人で、グラップルを使用しトラック（1.5t車）に廃材を積み込む作業をしていたが、最後に足場板の廃材（長さ3.7m）をグラップルで掴み、荷台上で旋回させたところ、トラックの屋根上（高さ1.9m）にいた被災者に廃材が当たり、墜落した。,保健衛生業,その他の保健衛生業,浴場業,1～9,動力機械,一般動力機械,その他の一般動力機械,激突され
H21,9,15～16,下水道工事現場において、簡易土止めのパネルを設置する作業中、被災者は掘削した溝の法肩部分に立っていたが、立っていた部分が崩れ、崩れた土砂とともに溝内（深さ約3.5m）に転落し、崩れた土砂に埋まった。,建設業,土木工事業,上下水道工事業,1～9,環境等,環境等,地山、岩石,崩壊、倒壊
H21,9,16～17,被災者を含む4人が農業トラクターに牽引されるハーベスター（重量約3.5t）と呼ばれる馬鈴薯収穫機に乗って馬鈴薯の収穫作業を行っていた。被災者等がハーベスターを降りて、畑に落ちている小イモを取り除いていたとき、トラクターの運転手がハーベスターに被災者等が乗ったことを確認せずにトラクターを前進させたため、ハーベスターの下に潜り込んで小イモを取っていたと思われる被災者がその右後輪にひかれた。,農林業,農業,農業,1～9,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ
H21,9,14～15,被災者は、商店の土場にてトラックからH形鋼（長さ4.5m×幅0.5m×高さ0.2m）の荷降ろし作業中、移動式クレーンでつり上げた同鋼材を高さ3.0mの位置に静止させていたところ、同鋼材が回転したため以前から積み上げられてあった他の鋼材に激突し、この勢いで倒れた鋼材（総重量4.16t）の下敷きになった。,清掃・と畜業,清掃・と畜業,産業廃棄物処理業,10～29,物質、材料,材料,金属材料,崩壊、倒壊
H21,10,12～13,漁港内の荷捌施設において、漁船（9.84t）を修理するため、タイヤ式揚船機（台車）を船底に入れ、海からスロープを利用してウインチで引き揚げ、「横取り」と呼ばれる手法でウインチと滑車を使い、少しづつ台車のタイヤ方向を変え、所定の位置へ牽引していたところ、「横取り」に使用していたワイヤロープ（φ14）が薩摩編み部分から切断し、近くにいた被災者の足元へはね返り、はね飛ばされた。,畜産・水産業,水産業,漁業,10～29,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,激突され
H21,10,14～15,集水井掘削作業において、補強材のH鋼を取り付けるために、被災者が親綱、ロリップを使用して集水井内に侵入したところ、井戸頂部から2m付近で、ロリップとともに親綱が切断し、33m下の井戸底に墜落した。,建設業,土木工事業,その他の土木工事業,10～29,その他の装置等,用具,その他の用具,墜落、転落
H21,10,19～20,被災者がタクシーを運転して、T字交差点の優先道路を直進していたところ、左から交差点内に進入してきた乗用車に衝突されてタクシーが対向車線にはみ出し、さらに対向車線を走行していた乗用車がタクシーに衝突した。タクシーの運転手は死亡し、他の車に乗っていた7人が負傷した。,運輸交通業,道路旅客運送業,ハイヤ-・タクシ-業,100～299,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,10,13～14,被災者は朝から協力会社の資材センターで産業廃棄物の運び出し及び清掃作業等を行っていた。昼食後は物置等に使用されているコンテナの屋根に庇を付ける作業を行うため、当該コンテナの屋根（高さ約2.4m）に上り、コンパネを運んでいたところ、コンパネとともに地上まで墜落した。被災者はヘルメットを被っていなかった。,建設業,土木工事業,その他の土木工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落、転落
H21,11,18～19,屋上PHにおいて、つり足場の上で外部カーテンウォールのガラス取り付け作業を行っていた被災者が、つり足場の上を移動していたときに、62.46m下の6階に墜落した。つり足場の作業床の幅は24cm、内側に2段手すり、親綱が設置されていた。被災者は安全帯を着用していたが、移動のときには使用していなかった。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,1～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H21,11,15～16,冷蔵庫内に設置された、荷物専用エレベータに搭乗して上昇中に、冷蔵庫2階床とエレベータ搬器床との間にはさまれた。,製造業,食料品製造業,水産食料品製造業,30～49,物上げ装置、運搬機械,動力クレーン等,エレベータ、リフト,はさまれ、巻き込まれ
H21,11,16～17,車道上で、被災者がスコップで工事現場から出た道路の泥を除去する作業を行っていたところ、一般の乗用車にはねられた。本作業を行うに際し、道路を規制したり、交通誘導員を配置する等の措置を講じていなかった。被災者は反射チョッキ等を着用していなかった。事故発生当時小雨が降っていた。,建設業,土木工事業,河川土木工事業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,11,7～8,被災者は工事現場に向うため、同僚が運転する会社所有の軽ワゴン車の助手席に同乗し、事業場を出発、公道を走行していたところ、路面がブラックアイスバーンのため左カーブでスリップして対向車線に飛び出し、対向してきた大型ダンプトラックと正面衝突した。被災者は死亡し、運転手も負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,11,13～14,被災当日、農業用トラクターの後部に収穫用コンテナを乗せるための荷台を連結し、収穫した長いもを荷台上のコンテナに入れる作業を行っていた。当該コンテナに長いもを入れる作業は農業用トラクターを前進させながら作業を行っており、被災者は前進していた荷台後部左側の車輪に巻き込まれた。,農林業,農業,農業,1～9,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,はさまれ、巻き込まれ
H21,11,9～10,被災者は、市内の電柱移設工事現場において、積載形トラッククレーン（つり上げ荷重2.83t）を用い、運搬してきた電柱（長さ15m、重量1.18t、数量5本）の荷降ろし作業中に、同トラックの荷台上において電柱1本を玉掛けしつり上げたところ、クレーンのワイヤーが破断し落下した荷が被災者に激突した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,飛来、落下
H21,11,4～5,当日の午前3時頃、峠下の中継所において、被災者は運ばれてきた各社の新聞を2tトラックに積み、3時過ぎに中継所を出発した。事故までに途中4箇所の新聞販売店に新聞を降ろし次の販売店に向かって走行していたところ、事故現場の緩い左カーブで道路脇の約5m下の側溝に転落した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,11,6～7,被災者は工事現場に向かうため同僚が運転する会社所有のワゴン車（3人乗車）に乗車中、交差点（赤の点滅信号機あり）に差しかかかったところ、一時停止をせず侵入して右から来た車と衝突し2台とも道路脇に転落した。被災者はその衝撃で車外へ放り出され、相手車の下敷きになった。被災者は右後部座席に座り、シートベルト未着用であった。,建設業,土木工事業,その他の土木工事業,1～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,11,13～14,河川の拡幅工事に伴う立木の伐採作業をしていた被災者が倒れていた。被災者のヘルメットは割れており、付近には枝（推定重さ30kg）が落ちていた。なお、落ちていた枝は、被災直前に伐倒した木の隣の木の枝である。,建設業,土木工事業,河川土木工事業,10～29,環境等,環境等,立木等,飛来、落下
H21,11,9～10,一般国道の災害防除工事現場において、被災者は不整地運搬車（最大積載量8t）を運転し、残土を現場脇の仮置場に運搬する作業に従事していた。不整地運搬車に残土を載せ、盛土部分の登坂路（最大勾配13度）を後進していたところ、高さ約5.4mの路肩から転落（転落箇所の勾配は50度）、後方に落下、横転したため、被災者は運転室から放り出された。,建設業,土木工事業,その他の土木工事業,30～49,物上げ装置、運搬機械,動力運搬機,不整地運搬車,墜落、転落
H21,11,11～12,マンションの出入口の1階の庇の上に倒れている被災者（マンションの管理人）を向かいのビルの会社員が発見した。被災者は11階供用部廊下の清掃前の換気のために、外開きの窓を開けた際、バランスを崩して約30m下の1階庇に墜落した。,建設業,建築工事業,木造家屋建築工事業,50～99,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H21,12,16～17,個人住宅の屋根の改修工事のために屋根上において作業を行っていたが、作業が終了したため屋根に立てかけてあるアルミ製伸縮はしごを降りている途中、はしごが右に滑りそのため被災者はバランスを崩し高さ約4mのはしご上から地面に墜落した。,建設業,建築工事業,その他の建築工事業,1～9,その他の装置等,用具,はしご等,墜落、転落
H21,12,13～14,道道の防雪柵設置工事現場において、被災者は、荷つり作業をしていた車両積載形トラッククレーンの後ろ側に立ち、交通誘導を行っていたところ、市街地から走行して来た乗用車にはねられた。その後、乗用車は車両積載形トラッククレーンに追突し、被災者は、乗用車と車両積載形トラッククレーンにはさまれた。なお、現場には注意喚起のカラーコーンと看板が置かれていた。事故時の天候は晴れ、路面は乾いていた。,その他の事業,その他の事業,警備業,100～299,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,12,14～15,被災者は、市場青果棟内において、高さ9.28mの天井に設置してある照明機器（水銀灯）の清掃作業を高所作業車のバケットに乗り行っていたところ、バケットと天井の鉄骨梁の間にはさまれ死亡した。,建設業,その他の建設業,電気通信工事業,30～49,動力機械,建設機械等,高所作業車,はさまれ、巻き込まれ
H21,12,11～12,被災者1人で会社ガレージにて、軽自動車の両前輪付近に高さ40cmのウマを2個使用し、軽自動車の下に入って修理をしていた。修理作業中、ウマが外れ、軽自動車と床面とにはさまれた。,商業,小売業,自動車小売業,1～9,その他の装置等,用具,その他の用具,崩壊、倒壊
H21,12,14～15,20tトレーラーの荷台に油圧プレス（重量約4.7t、高さ2.3m、長さ2.5m、奥行き1.1m）をホイールクレーンで積み込み、荷台に固定するため、被災者は当該プレスの上端2箇所にワイヤロープを掛けてレバーブロックで締め付けていたところ、当該プレスが被災者側に転倒し下敷きとなった。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～49,荷,荷,機械装置,飛来、落下
H21,12,9～10,道路の防雪柵設置工事現場において、被災者は、荷つり作業をしていた車両積載形トラッククレーンの後ろ側に立ち、交通誘導を行っていたところ、市街地から走行して来た乗用車にはねられた。その後、乗用車は車両積載形トラッククレーンに追突し、被災者は、乗用車と車両積載形トラッククレーンにはさまれた。なお、現場には注意喚起のカラーコーンと看板が置かれていた。事故時の天候は晴れ、路面は乾いていた。,建設業,その他の建設業,機械器具設置工事業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊、倒壊
