年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H24,1,9～10,工場内通路にて台車につまずき転倒し、設置してある機械の端に胸部を強打してしまった。,製造業,食料品製造業,その他の食料品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,56,50代
H24,1,19～20,包装室で納豆の包装作業終了間際に、包装機械に残っていた納豆容器の払い出し作業中にて、包装機械から流れてきた納豆容器を発見し、機械が稼動しているにも関らず、咄嗟に機械に手を入れて納豆容器を取ろうとしたため、機械に挟まれ手首を打撲した。,製造業,食料品製造業,その他の食料品製造業,10～29人,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,44,40代
H24,1,1～2,電気炉スラグの出滓作業を開始し、暫くはその場で流れ状況を監視した後、詰所に戻って防熱上着と防熱前掛けを着用したまま、監視カメラにて出滓状況を監視していた。スラグが出滓し始めて７～８分後、熔融スラグが樋から溢れ出したのを発見し、直ちに罹災現場に直行して、一人で熔融スラグを止滓していた。その際、場面に溢れた熔融スラグの輻射熱によって、足首（安全長靴）上のズボンが焦げ出して、足膝下～足首を火傷した。尚、足ズボンの焦げ部を両手で払い消そうとして、手甲、指にも軽度の火傷を負った。,製造業,非鉄金属製造業,その他の非鉄金属製造業,100～299人,環境等,環境等,高温・低温環境,高温・低温の物との接触,59,50代
H24,1,10～11,ダイバーターから払い出される廃樹脂を取り除くため、ダイバーターの横で待機していた。ダイバーターから粘度の高い樹脂（温度の低い樹脂）が出始めた後、突然粘度の低い樹脂（温度の高い樹脂）がダイバーターから方向を変えて噴出し、被災者の大腿部へかかり、熱傷に至った。,製造業,化学工業,無機・有機化学工業製品製造業,50～99人,その他の装置等,その他の装置、設備,その他の装置、設備,高温・低温の物との接触,40,40代
H24,1,14～15,肉処理室での作業中、計量カップに水を汲み移動する際、急いでいたため、床の排水桝の上で滑った。計量カップを持っていたため、手で体を支えることができず、床に手をぶつけ、手首を骨折した。,製造業,食料品製造業,その他の食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,58,50代
H24,1,16～17,厨房にてスライサーで野菜の裁断を行っていた際、誤ってスライサーの刃の部分に手中指の爪部分が接触し、切傷を負った。,製造業,食料品製造業,その他の食料品製造業,30～49人,動力機械,一般動力機械,食品加工用機械,切れ、こすれ,21,20代
H24,1,9～10,野菜の加工をする現場で毎日行っている作業のトレビスを包丁で切っている際、ザクッと切ったところ、堅い物にあたる違和感があり、力一杯切ると自分の指の先端を切っていた。,製造業,食料品製造業,その他の食料品製造業,50～99人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,55,50代
H24,1,10～11,厨房の下処理室で南瓜をカットしてたところ、南瓜が固く包丁が滑り、小指を切った。,製造業,食料品製造業,その他の食料品製造業,30～49人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,23,20代
H24,1,23～24,炉から薬品を取出す作業中、製品上部の固定部と製品を切り離した際、製品上部の切断部が鋭利になっており、製品を支えていた手が切断部に触れて負傷した。,製造業,電気機械器具製造業,その他の電気機械器具製造業,1000～9999人,物質、材料,材料,その他の材料,切れ、こすれ,37,30代
H24,1,9～10,工場内でストレッチの圧縮の作業中、圧縮機（プレス機）に手をはさまれた。,製造業,化学工業,プラスチック製品製造業,1～9人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,56,50代
H24,1,8～9,ケース置き場で作業中つまずき、ケースが倒れてきたため、ケースの角が目ジリに当たり、切った。,製造業,食料品製造業,その他の食料品製造業,50～99人,荷,荷,荷姿の物,崩壊、倒壊,70,60代以上
H24,1,17～18,作業者が製品を積載したスタンドを移動台車からフローベア台車に移載しようとしたが、スタンドの角がフローベア台車の一番目のローラーに当たりうまく積載できなかった。そのためスタンドを移動台車に戻そうとしたが、スタンドの重量が重く移動台車がずれ始めたため、一担スタンドを床におろそうと落下させたところ、スタンドが後方に倒れ、たまたま通行していた被災者の足に乗り、下敷きとなった。,製造業,化学工業,化学繊維製造業,300～499人,その他の装置等,人力機械工具等,人力運搬機,崩壊、倒壊,30,30代
H24,1,7～8,きのこカゴ詰め作業の為、作業棟へ移動中、コンクリート舗装された通路の路面凍結した上にうっすらと積もった雪のあった場所で、足を滑らせ転倒。路面に肘、わき腹を強く打ちつけた。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,60,60代以上
H24,1,15～16,鶏舎内で、被災従業員が換気扇を掃除するため、安全柵を外し、照明を点けずに暗がりの中で作業していた。他の従業員が換気扇のスイッチが切れていることに気付き、声をかけて舎内を確認したが、誰もいないと思い、誤って換気扇のスイッチを入れた。そのため、換気扇が動き負傷した。,製造業,食料品製造業,その他の食料品製造業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,はさまれ、巻き込まれ,36,30代
H24,1,17～18,飛行機の翼面のパネルを取り付け取り外し作業中、スクリューヘッドに滑りが生じた。スクリュー交換の為スピードハンドルを使用してスクリューを緩めようと、（翼面が自身の頭上にあり、脚立にて立ち作業）手でスピーダーの底部を支え、手でスピーダーのクランク部を使用し、両手で力一杯押し付けたところ、脇腹付近に激痛を感じた。,製造業,その他の製造業,機械修理業,100～299人,その他の装置等,人力機械工具等,手工具,動作の反動、無理な動作,30,30代
H24,1,6～7,原料調合室内にて、調合作業中、足を滑らせた。その際、開封されていた一斗缶の鋭利な部分に手をつき、切った。,製造業,食料品製造業,飲料(酒類を除く)製造業,50～99人,物質、材料,材料,金属材料,切れ、こすれ,30,30代
H24,1,8～9,高いところにある段ボールの箱を、一つ降ろそうとした際、箱を落とした為、慌てたところ、上げた手を下す際、左横にあった空のプラスチック製の箱に手首の少し上を強打。負傷した。,製造業,食料品製造業,その他の食料品製造業,50～99人,荷,荷,荷姿の物,動作の反動、無理な動作,63,60代以上
H24,1,14～15,厨房内にて、冷凍庫から食材の入ったバットを持って冷蔵庫に入り、下から２段目の棚に置いた瞬間、床が濡れていたため滑り、上半身をドアーにぶつけないように体をかばって捻り、仰向けに倒れた。大腿骨を骨折した。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,62,60代以上
H24,1,13～14,二次加工ラインにて、製品の製造前準備している際、マーガリンをパンに注入する注入機の操作ボタンを誤って押した為、注入ブロックとターンテーブルの間に手を挟まれた。,製造業,食料品製造業,パン、菓子製造業,100～299人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,23,20代
H24,1,0～1,生ケーキのラインにて、袋に入った製品をはさみで開封し取り出す作業中、開封済みの袋が下に落ちているのに気付き、拾おうとしたところ、製品についている粉が床にこぼれるのを防ぐために敷いていたシートで足を滑らせ、しりもちをつき、膝をひねった。,製造業,食料品製造業,パン、菓子製造業,1000～9999人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,36,30代
H24,1,9～10,４、５尺旋盤機で金型部品（直径３０ｍｍ・長さ３０ｍｍ）を正規の方法でチャックして、研磨作業中、紙ヤスリを手で持ち研磨作業していたところ、誤って紙ヤスリが機械に巻き込まれ、手も巻き込まれた。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,動力機械,金属加工用機械,旋盤,はさまれ、巻き込まれ,68,60代以上
H24,1,11～12,工場Ｌ字型階段にて、中程の踊り場から下へ降りた際、つまづき転落。肩（脱臼）、足等を負傷した。,製造業,化学工業,プラスチック製品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,激突,50,50代
H24,1,15～16,操作盤の側に立ってクラフト紙の巻き取り作業中、クラフトが時より上手く巻かれず、手を添えて巻きやすくしていたところ、袖口のボタン（１個止め）が外れ、袖口が広がっていたのに気付かず手を添えた。このときローラー部に袖口が挟まり、あわてて操作盤の停止ボタンを押し、機械を停止させた。腕が回転部に挟まり、負傷した。,製造業,パルプ・紙・紙加工品製造業,紙加工品製造業,10～29人,動力機械,一般動力機械,ロール機(印刷ロール機を除く。),はさまれ、巻き込まれ,40,40代
H24,1,16～17,締付け機で締付け作業中、製品に受け治具をセットして、起動スタートした。締付け機治具と製品受け治具がズレた為、停止ボタンを押さず、手でズレを直したところ、締付け機治具と製品受け治具のスキ間に指を挟まれた。,製造業,輸送用機械等製造業,自動車・同付属品製造業,30～49人,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ、巻き込まれ,55,50代
H24,1,17～18,事務所にて、配膳車をエレベータより降ろし、引きながらカーブを曲がる際、サンダルのサイズが大きかったため、サンダルが脱げて、引っかかり、足がもつれたところ、配膳車の前輪が足の甲に乗り巻き込まれ、倒れた。足の甲及び踵を骨折した。,製造業,食料品製造業,その他の食料品製造業,10～29人,その他の装置等,人力機械工具等,人力運搬機,はさまれ、巻き込まれ,66,60代以上
H24,1,11～12,工場内にて、白滝の製造ラインのチェックに行く途中、本来壁際に置いてある材料の入ったタンクが通路に出ていたため、それを避け壁際を通ったところ、こんにゃくのりがこぼれており、足を滑らせ、足が開き、膝をひねって負傷した。,製造業,食料品製造業,農業保存食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,58,50代
H24,1,9～10,工場の敷地内で、板のみの台車で金型を移動中、段差があったため金型がずれ、それを手で直そうとした際、誤って金型と地面の間に手が挟まれ、負傷した。,製造業,化学工業,プラスチック製品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,はさまれ、巻き込まれ,31,30代
H24,1,10～11,社内の掲示板を見ようとしたところ、足を滑らせ、しりもちをついた。手をついて手首を負傷した。,製造業,食料品製造業,肉製品、乳製品製造業,300～499人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,64,60代以上
H24,1,16～17,ラベルプリンタ機組立ラインで、フレーム（板金）に、押し冶具を使用し、滑り、軸受けを圧入する作業中、押し冶具が滑り、その勢いでフレーム（板金）に手小指をぶつけ、裂傷した。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,500～999人,物質、材料,材料,金属材料,切れ、こすれ,26,20代
H24,1,0～1,玉葱加工室で勤務中、カット玉葱の入ったザル（約１４ｋｇ）を持ち上げたところ、背中に痛みを感じた。,製造業,食料品製造業,農業保存食料品製造業,100～299人,その他,起因物なし,起因物なし,動作の反動、無理な動作,41,40代
H24,1,8～9,シメ型の動作緩みの手動操作確認中、手動操作でシメ型を動かした際、芯金のズレを発見し、非常ボタンを押すところ、誤って親指を金型の間に入れ、負傷した。,製造業,輸送用機械等製造業,自動車・同付属品製造業,50～99人,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ、巻き込まれ,38,30代
H24,1,15～16,工場内にて、帯状ポリエチレンフイルムをカッターナイフで切断中、誤って手人差し指に裂傷を負った。,製造業,化学工業,プラスチック製品製造業,1～9人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,30,30代
H24,1,8～9,始業前の設備段取りを行っている際、糊付け機のスタートボタンを押したがローラーが回転しなかった。「ローラー上の洗浄しきれなかった糊が固まりローラー同士がくっつき回らなくなった」と判断し、Ｖベルトを手で握って、回転の補助を行おうとしたところ、そのまま巻き込まれた。,製造業,木材・木製品製造業,合板製造業,30～49人,動力機械,一般動力機械,ロール機(印刷ロール機を除く。),はさまれ、巻き込まれ,19,10代以下
H24,1,19～20,テーブル検品作業中、資材庫から荷物を取ってきた後、扉を手動で閉める際、扉の淵に手の人差し指を掛けたまま閉め、指を挟んだ。,製造業,食料品製造業,その他の食料品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,はさまれ、巻き込まれ,64,60代以上
H24,1,11～12,加工場にて、鉄筋切断作業中、切断した鉄筋がはね上り、顎部分に当たり、負傷した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,物質、材料,材料,金属材料,激突,26,20代
H24,1,13～14,工場１階ゴミ処理場にて、ゴミ袋をコンテナの中に入れる作業中、約１ｍの高さのプラットホームから転落。床に胸部を打ちつけた。,製造業,食料品製造業,その他の食料品製造業,300～499人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,68,60代以上
H24,1,14～15,工場内の作業棟にて、ベルトコンベアー下部に溜まったダクト塊（セメント紛の固まり）を電動ピックを使用し、ハツリ作業していたところ、同僚からの、ベルトコンベアー稼動の指示確認が不充分だった為、ベルトコンベアーが動き出すことを知らずに、作業を続けた。稼動に伴い、ベルトコンベアーのたるみを調整するウエイトボックス（重さ３～４００ｋｇ）が急に降下し、ダクト塊との間に手甲部分が挟まれ、引き抜いたところ、裂傷、負傷した。,製造業,窯業土石製品製造業,セメント・同製品製造業,10～29人,物上げ装置、運搬機械,動力運搬機,コンベア,はさまれ、巻き込まれ,64,60代以上
H24,1,16～17,工場内産廃コンテナ置場付近にて、産廃１３ｋｇ入りビニール袋をコンテナの中に投げ込んだところ、腰に負荷がかかり、負傷した。,製造業,化学工業,プラスチック製品製造業,100～299人,荷,荷,荷姿の物,動作の反動、無理な動作,38,30代
H24,1,14～15,作業中、作業に使う角材（約１０キロ）を持ち、コンクリート床に置こうとしたところ、手薬指を角材と床に挟んだ。,製造業,その他の製造業,自動車整備業,10～29人,物質、材料,材料,金属材料,飛来、落下,46,40代
H24,1,9～10,製品包装機のトップシール部「上下動作」（アルミピローの熱圧着及びカット）で、アルミトップシールの折込みを調整する部品（ガゼット）の位置を、機械運転中、微調整しようと腕を安全カバー内に入れたところ、人指し指がトップシール部に挟まれ、指先を切断した。,製造業,化学工業,医薬品製造業,～～,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ、巻き込まれ,52,50代
H24,1,10～11,アルミニウムの溶解作業の最終工程にて、アルミニウムを取り出した後の、鉱滓の残っている溶解炉の炉内温度を下げるため、冷却用の冷まし灰を投入したところ、一部湿った灰が混入していたため、水蒸気による膨張した熱風が溶解炉の炉口より吹き出し、負傷した。,製造業,非鉄金属製造業,非鉄金属精錬・圧延業,10～29人,その他の装置等,炉窯等,炉窯,高温・低温の物との接触,29,20代
H24,1,22～23,休憩時間中、喫煙室から職場のある工場棟へ戻る際、構内道路の横断歩道を渡ったところ、アイスバーン状態の路面で足を滑らせ、転倒した。左側に転倒して片手のみで体重を支え、手首を受傷した。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,300～499人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,47,40代
H24,1,11～12,流通発送業務にて、５００枚入りの箱２箱約５ｋｇのものを持って、台車に載せたところ、腰の部分に違和感を感じた。,製造業,印刷・製本業,印刷業,100～299人,荷,荷,荷姿の物,動作の反動、無理な動作,39,30代
H24,1,3～4,工場内にて、農工車の移動を行うため（走行しない為）、走行装置を点検中、急に動き、ベルトとプーリの間に手を挟まれて、負傷した。,製造業,その他の製造業,自動車整備業,1～9人,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,はさまれ、巻き込まれ,38,30代
H24,1,3～4,駐車場にて、車から２、３歩歩いたところ、滑って、転倒。手を地面についた。,製造業,食料品製造業,その他の食料品製造業,30～49人,環境等,環境等,その他の環境等,転倒,60,60代以上
H24,1,10～11,清酒製造工程中、酒粕を切りくずしタンクに移す際、手がすべり、スコップの柄が胸に当たり、骨折した。,製造業,食料品製造業,酒類製造業,10～29人,その他の装置等,人力機械工具等,手工具,激突,29,20代
H24,1,16～17,敷地内駐車場にて、業務が終わり帰宅しようと自家用車に向かって歩いている際、路面が雪溶け水で凍っていることに気がつかず、滑って、前のめりに転び、頭部を打った。,製造業,食料品製造業,その他の食料品製造業,1～9人,環境等,環境等,その他の環境等,転倒,57,50代
H24,1,9～10,台車の原木搬送ライン上にて、２本重なった原木を手作業でバラすため、搬送ラインのアングルを足場にして作業した際、アングルに掛けた足が滑り、体勢を崩し、そのアングルの上に落下。脇腹を強打した。,製造業,木材・木製品製造業,合板製造業,50～99人,物上げ装置、運搬機械,動力運搬機,コンベア,転倒,42,40代
H24,1,19～20,製品を固定せず、手で押さえ、サンダーで研磨作業中、力を加えたところ、サンダーが滑って、手の甲に回転している砥石がぶつかり、傷を負った。尚、軍手は着用していた。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,動力機械,金属加工用機械,研削盤、バフ盤,切れ、こすれ,26,20代
H24,1,8～9,工場間の製品移動に使用しているトラックのギヤチェンジを行う際、シフトギヤが入りにくく、無理に操作したため、体のバランスをくずし、首をひねり受傷した。,製造業,非鉄金属製造業,その他の非鉄金属製造業,50～99人,その他,起因物なし,起因物なし,動作の反動、無理な動作,32,30代
H24,1,8～9,会社敷地内の職員の自家用車置場から整備工場内のロッカ室に行く途中、工場前の路面が除雪して滑りやすくなっていた為、注意して歩行したが、滑って、転倒した。,製造業,その他の製造業,自動車整備業,10～29人,環境等,環境等,その他の環境等,転倒,64,60代以上
H24,1,19～20,取引先の工場にて、物を感知すると自動的に傾き、次のコンベアに流す製造ラインの改造と、機材交換作業を行った。その後、試運転を行った際、異常音があった為、原因を確かめようと普段は柵がしてある場所に立ち入り、作業を行っていたところ、センサーが腕を感知し、傾いたコンベアによって耳上部に裂傷を負った。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,10～29人,物上げ装置、運搬機械,動力運搬機,コンベア,はさまれ、巻き込まれ,27,20代
H24,1,11～12,休憩室のある工場へ向かい外路面を歩行中（約１０メートル）、サンダル履きで歩行したため、凍結路面で滑り、転倒。足首を捻り骨折した。,製造業,その他の製造業,クリーニング業,100～299人,環境等,環境等,その他の環境等,転倒,48,40代
H24,1,12～13,電殺後の放血作業台に載った豚の放血作業中、すでに放血処理を終了した後の豚が突然動き出し、立ち上がろうとした為、手で押さえ付けようとしたところ、立ち上がった豚がよろけて、作業者に当たり、作業者が転倒した際、手に持っていた作業ナイフが自身の腕に強く当たり、二の腕内側を深く切り、負傷した。作業者は作業当時、手にナイフを持ったまま手片手のみで豚を押えようとし、被災した。,製造業,食料品製造業,肉製品、乳製品製造業,100～299人,環境等,環境等,その他の環境等,激突され,36,30代
H24,1,13～14,加工工場にて、「おにぎり」の製造作業中、「おにぎり成形機」に下張原材料シールが一枚残っていたため、機械は止めたが、安全カバーを上げずに（安全カバーをあげると作動しない）狭い隙間にあるシールを回収中、パートナーが誤まって機械のスイッチを作動させたところ、手小指の先端を切断した。,製造業,食料品製造業,その他の食料品製造業,50～99人,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,34,30代
H24,1,13～14,工場屋内作業所にて、ドラム型ミキサーの修理作業中、ドラム本体とドラム外側を鉄板をボルトで固定するため、ハンドドリルで同時の穴明け作業を行っていた際、ドリルの歯が噛みストップした。反動で逆方向に動くドリル本体のもち手部に手薬指が挟まり、負傷した。,製造業,窯業土石製品製造業,セメント・同製品製造業,10～29人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,56,50代
H24,1,17～18,電線の被覆を剥ぐ機械を操作中、電線の先を１０ｍほど機械の中に入れるところ、誤って手の中指を安全カバーの隙間から電線の上にのせ、足でペダルを踏み、中指と電線を同時に機械に挟み、骨折した。,製造業,電気機械器具製造業,その他の電気機械器具製造業,10～29人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,55,50代
H24,1,17～18,モールド装置整備場所にて、整備中モールドチューブ（３９ｋｇ）を引き抜く際、いつもはモールド本体に向かって作業しているが、被災時モールド本体に対して後ろ向きにモールドチューブを両手で抱えて、勢いよく引き、引き抜き過ぎたとこころ、チューブ後端側から滑り落ち、安全靴の上に落下。足小指付け根を骨折した。,製造業,鉄鋼業,製鉄・製鋼・圧延業,100～299人,物質、材料,材料,金属材料,飛来、落下,20,20代
H24,1,18～19,鉄材をバリ取していたところ、足を滑らせ、転ぶと思い手を地面につき、負傷した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,物質、材料,材料,金属材料,転倒,59,50代
H24,1,8～9,配達した際、地面に立った状態で、トラックの荷台の奥から豆腐の入ったケースを２段重なった状態で手前に引き出そうとしたところ、ケースにかけていた手が滑り、反動で足が滑り、転倒。負傷した。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,68,60代以上
H24,1,2～3,工場内にて、製品の入った箱を台車で運び、台の上に載せるため、両手で抱え上げようと持ち上げたところ、バランスを崩し、腰に痛みが走った。,製造業,輸送用機械等製造業,自動車・同付属品製造業,50～99人,荷,荷,荷姿の物,動作の反動、無理な動作,36,30代
H24,1,14～15,材料置き場にて、現認者と２人で材料４トン２本をクレーンを使用し、現認者運転にてつり上げ移動の補助を行っていた。２回目の移動時に地切りを行ったところ、材料の先端が振れ、負傷者の腹部に当たり、クレーンの橋脚で挟まれたが、手ではねのけ、床に飛び降りた。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,30～49人,物上げ装置、運搬機械,動力クレーン等,クレーン,激突され,35,30代
H24,1,16～17,給湯器のパイプ加工の際、プレス機で作業中、誤ってプレス機に手示指を挟み、負傷した。,製造業,金属製品製造業,金属プレス製品製造業,50～99人,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ、巻き込まれ,26,20代
H24,1,10～11,工場内通路にて、トイレ休憩から作業場所に戻る際、うしろを見ながら歩いていたところ、左前から出てきたフォークリフトに気が付かずに、ぶつかり、転倒。足をフォークリフトの左後輪でひかれた。,製造業,食料品製造業,その他の食料品製造業,1～9人,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,29,20代
H24,1,21～22,金属製品溝入れ加工機にて、機械内部の部品交換（段取作業）を行っている際、ローダーにチャックされている製品を外そうとし、手を機械の中に入れ製品を掴み、チャックを開こうとしたところ、誤った操作を行い、ローダーが下降し、バリ取り装置と製品の間に中指先端部分を挟み、裂傷した。,製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299人,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ、巻き込まれ,47,40代
H24,1,8～9,破風製品の梱包工程にて、破損防止のため、スキマに端材を利用してスペーサー（３０～７０ｍｍ）を入れるが、このスペーサーに使用するボードに卓上スライド丸のこで切断したところ、刃が手甲に接触して、負傷した。尚、当加工機はスイッチから手を離すとブレーキがきき、また、安全カバーが下がる仕様になっているが、故障しており、スイッチから手を離しても、安全カバーが作動しなかったことにより、刃にもブレーキが掛からなかった。,製造業,パルプ・紙・紙加工品製造業,紙加工品製造業,1～9人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,32,30代
H24,1,11～12,堰折作業場所にて、製品の押湯切断作業中、パレティーナの中にある製品をハンドホイストを使って移動をした際、ホイストへのワークセットが不完全であったため、製品が足のつま先付近に落下。親指を負傷した。尚、作業者は、作業資格を取得しており、鉄芯入の安全靴と安全保護具（足甲プロテクター）を装着していたが、製品の重量が約５０ｋｇあったため、防ぎきれなかった。,製造業,鉄鋼業,鋳物業,30～49人,その他の装置等,用具,玉掛用具,飛来、落下,37,30代
H24,1,10～11,工場にて、椅子の上にあがり、リード線のほぐし作業をしていたところ、バランスを崩し、椅子から転落。足を負傷した。,製造業,電気機械器具製造業,重電機製造業,50～99人,その他の装置等,用具,はしご等,墜落、転落,42,40代
H24,1,10～11,調理作業中、使用済みのザルを調理室の隣にある洗浄室へ置きに行き、戻る際に勢いよく閉まるドアを防ごうとしたところ、手人差し指がドアに挟まった。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,はさまれ、巻き込まれ,47,40代
H24,1,9～10,サイジング部署にて、プレス機（両手押しプレス機械）で、加工部品の取付け冶具に穴を開けるコア（金属の棒）に手人差し指を誤って差し出し、指に貫通させた。,製造業,金属製品製造業,その他の金属製品製造業,50～99人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,29,20代
H24,1,14～15,豚の骨をバンドソーでカット作業中、よそ見をしたところ、手の甲をバンドソーで切った。,製造業,食料品製造業,その他の食料品製造業,50～99人,動力機械,一般動力機械,食品加工用機械,切れ、こすれ,26,20代
H24,1,10～11,品質取引室にて、さとうきび品質取引に係るトラッシュ（來雑物）の除去作業中、パイプイス（キャスター無）に腰掛けて、行っていたが、一度立ち上がり、再び腰掛ける際にバランスを崩して右横方向へ転倒した。その際に体を支えようと咄嗟に出した手に全体重が掛かり手首を骨折した。,製造業,食料品製造業,その他の食料品製造業,50～99人,その他の装置等,用具,その他の用具,転倒,68,60代以上
H24,1,14～15,熱湯を桶に入れてキャスター付台車に乗せて移動中、排水溝のふたに引っかかり、桶を倒した。一緒に倒れ、熱湯が体に触れ、火傷した。,製造業,食料品製造業,水産食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,44,40代
H24,1,17～18,工場内ヤードの千さし工事中、トタン張り作業を終えて、降りる際、誤って手を滑らせ、落下。負傷した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落,49,40代
H24,1,15～16,組立設備移動の業務中、設置を台車へ乗せる作業に枕木を使用し油圧ジャッキで設置をリフトアップしていたところ、枕木が突然割れ設備と台車の間に手の母子をいれていたため、指を挟みこんだ。,製造業,電気機械器具製造業,電子機器用・通信機器用部品製造業,500～999人,物質、材料,材料,木材、竹材,はさまれ、巻き込まれ,39,30代
H24,1,11～12,原料肉を加工する前処理の際、バンドソーを使用し、肉塊をカットする作業中、原料肉が手前に滑ってきたため、カット形状を修正しようと原料肉を押したところ、ノコ刃で手小指、薬指を切断した。,製造業,食料品製造業,肉製品、乳製品製造業,100～299人,動力機械,一般動力機械,食品加工用機械,切れ、こすれ,38,30代
H24,1,13～14,ランニングソーで木材切断作業終了後、丸鋸の安全カバー内に挟まった端材を取り除こうとした際、丸鋸の回収が静止したと誤認し、安全カバーを外し、手を差し入れたところ、丸鋸は安全に静止しておらず、手首と丸鋸の刃が接触して、負傷した。,製造業,木材・木製品製造業,その他の木材・木製品製造業,30～49人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,60,60代以上
H24,1,11～12,加工室でみそ製造中、ぬれた床面を歩いていたところ、足を滑らし、転倒。手をついて手首が腫れた。,製造業,食料品製造業,農業保存食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,64,60代以上
H24,1,12～13,工場入り口通路にあるエプロン掛けからエプロンを取り作業場へ行こうとした際、エプロン掛けが動きエプロン掛けの足につまずき、転倒し、手を床に付き、手首を骨折した。,製造業,食料品製造業,水産食料品製造業,100～299人,その他の装置等,用具,その他の用具,転倒,59,50代
H24,1,8～9,横バンドソーに背板を通していた際、搬送装置に枝が引っ掛ったため、それを取り除くため、搬送装置に登ったところ、足を滑らせ、落下。腕を骨折した。,製造業,木材・木製品製造業,製材業,10～29人,動力機械,木材加工用機械,その他の木材加工用機械,墜落、転落,22,20代
H24,1,11～12,一人で部材を２００丁横押しプレス機で曲げ、加工中、落下した当て物を手で取ろうとした際、操作盤に添えていた手が誤ってプレスの加圧ボタンに当たり、プレスが加圧され、プレス加工面の間で手を挟まれ、負傷した。,製造業,輸送用機械等製造業,造船業,50～99人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,66,60代以上
H24,1,19～20,ノコ盤で材料を自動切断中、切れていた材料を取ろうとした際、倉庫のドアが開き、人が入ってきた為、そちらを向き、機械が材料を挟んだところ、指も一緒に挟んだ。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,10～29人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,26,20代
