年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H28,9,11～12,出荷製品置場にて、フォークマンが製品を床置きしてからバックし、右方向へ前進しようとした。フォークリフトとパレットを積んだハンドリフトを操作していた被災者が、ハンドリフトのツメをパレットから抜く為に、後ろ向きで下ってきたことが同時となり、お互いに安全確認を怠り、被災者の右足とフォークリフト左後輪が接触してしまった。,製造業,輸送用機械等製造業,自動車・同付属品製造業,30～49人,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,62,60代以上
H28,9,11～12,エノキ茸原木詰込作業場で、詰込作業をしているとき、ローラーコンベアを動かすゴムベルトにキャップが挟まり、取り除こうとしたとき、手袋がベルトに巻きつき手の中指に切傷を負った。,製造業,食料品製造業,その他の食料品製造業,1～9人,物上げ装置、運搬機械,動力運搬機,コンベア,はさまれ、巻き込まれ,61,60代以上
H28,9,10～11,作業場で、昇降板で木材を加工している時、木材の破片が飛んで左手の人差し指に当たり負傷した。,製造業,家具・装備品製造業,建具製造業,10～29人,動力機械,木材加工用機械,丸のこ盤,感電,61,60代以上
H28,9,17～18,原料の仕込み工程で、機械を使い原料のビン詰め込み作業をしている時に、設備トラブルが発生。対処方法がわからず、電話で責任者に連絡し、電話により会話をしながら「センサー汚れ」の回答を得て、設備の停止をせずに手を伸ばしてセンサーを触ろうと機械に手を入れた瞬間、センサーが反応し詰込みプレスとドリルが降下し、手を挟み右手親指の付根部分を骨折した。,製造業,食料品製造業,その他の食料品製造業,100～299人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,48,40代
H28,9,11～12,作業中、計量機から流れてきた空袋を戻しに行く途中で、場内のゴンドラをくぐり抜ける際に、人の足に足が掛かり転倒した。,製造業,食料品製造業,肉製品、乳製品製造業,100～299人,その他,その他の起因物,その他の起因物,転倒,59,50代
H28,9,10～11,材料結束機で作業中、材料が斜めになった為、被災者が修正していた際、安全スイッチが切られていない状態だった為、手首を負傷した。,製造業,木材・木製品製造業,その他の木材・木製品製造業,10～29人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,52,50代
H28,9,13～14,倉庫において、深絞り真空包装機に製品を並べている最中、フィルムがなくなったため倉庫に取りに行き、2箱、縦に積んである12kgほどの箱のうち上のものを取った際、下の箱が高さ15cmほどの台から自身の足の上に落下し、左足の指を骨折した。,製造業,食料品製造業,水産食料品製造業,30～49人,荷,荷,荷姿の物,飛来、落下,62,60代以上
H28,9,10～11,一升の瓶詰ライン内のラベル貼り機で、ラベル貼付部に印字用のインクが付着していたため、紙ウエスを使用して拭き取り作業を行っていたところ、初めに紙ウエスが回転している機械に巻き込まれ、次に紙ウエスを持っていた右手人差し指が挟まれ負傷した。,製造業,食料品製造業,酒類製造業,30～49人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,22,20代
H28,9,16～17,工場内の凍結庫内において、原料の運搬作業をしていたところ、足元が滑ってしまい、床に転倒した。,製造業,食料品製造業,肉製品、乳製品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,33,30代
H28,9,11～12,就業先の駐車場で、給食運搬車のリフトを上昇させる際に、スイッチとリフトの間のレールに左手親指を挟まれてしまい負傷した。,製造業,食料品製造業,その他の食料品製造業,10～29人,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ,72,60代以上
H28,9,12～13,加工室内にて、原材料をステンレス製の電動ミキサーに入れ粉砕する作業中、作業が終了したためミキサーのスイッチを切り停止させた際、ミキサーの上蓋を手で開けてミキサー内に手を入れ、まだ惰性で回転している刃に上から右手で触れ、回転を早く停止させようとした際、誤って右手指を切創した。,製造業,食料品製造業,その他の食料品製造業,50～99人,動力機械,一般動力機械,食品加工用機械,切れ、こすれ,40,40代
H28,9,14～15,敷地内に於いて、止まっているフォークリフトの上に置いていたペンを取るため、フォークリフトに乗り、ペンを取り、地面の状態を見ないで降りたため、たまたま石が転がっていたところに、左足を着地してしまい、左足首を負傷した。,製造業,食料品製造業,酒類製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,動作の反動、無理な動作,24,20代
H28,9,16～17,一日の作業を終え、管理室に帰る際、工場内の通路にある排水用ピットに左足がはまり、左足膝を負傷した。,製造業,化学工業,無機・有機化学工業製品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,墜落、転落,45,40代
H28,9,9～10,工場内の包装機作業場において、包装機を動かして袋を供給しようとしている際に、その包装機の上で原料を計量機に投入していた別の作業員が袋を持ち上げたところ、計量機上部のホッパーカバーに当たって落下してしまい、頭部に直撃し、負傷した。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,荷,荷,荷姿の物,飛来、落下,60,60代以上
H28,9,17～18,加熱班で、機械洗浄時薬剤水を排水した後、器具を温水で流す際、薬剤水が長靴に入ったため、負傷した。,製造業,食料品製造業,肉製品、乳製品製造業,100～299人,物質、材料,危険物、有害物等,有害物,有害物等との接触,45,40代
H28,9,18～19,包装室にていなり寿司の油揚げを作業台の上で、折りたたむ作業を行っている時に突然意識を失い後方へ転倒した際に床で後頭部を強打し負傷した。,製造業,食料品製造業,その他の食料品製造業,500～999人,その他,起因物なし,起因物なし,転倒,18,10代以下
H28,9,1～2,工場内の商材搬入口で、ゴミ出し作業で扉を開ける際、工場内外の気圧の差で、工場の内側から扉を開く際には力が必要で、また足元にはすのこを敷いていたため滑りやすく、バランスを崩し、扉にもたれかかるような状態でそのまま転倒し、地面に頭を強く打ち、一時的に意識を失った。,製造業,食料品製造業,その他の食料品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,63,60代以上
H28,10,16～17,工場内に於いて、製函作業をしていた所、箱打ち機械内で釘が詰まったため取り除こうと機械の作動を止めたが、まだ機械が完全に停止する前に直そうとしたため、誤って左手薬指、小指を挟めて負傷。,製造業,木材・木製品製造業,製材業,1～9人,動力機械,一般動力機械,その他の一般動力機械,切れ、こすれ,47,40代
H28,10,10～11,ウニの内臓を取り除く作業中、空のたらいを持って洗いに行こうとして、自前のカッパズボンが大き過ぎ、足にからまってつまずいて、右肩から前のめりに転倒した。,製造業,食料品製造業,水産食料品製造業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,52,50代
H28,10,9～10,工場内で後向きで歩いている時に、右足が階段の角に引っ掛かり、後向きに転び、左手を床についた。,製造業,食料品製造業,その他の食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,転倒,65,60代以上
H28,10,11～12,加工場内にて、鮭のガラ処理をしている時、処理台に包丁の刃先がぶつかり、握っていた手が刃のほうにすべり、右手人差し指の第2関節部分を切傷する。,製造業,食料品製造業,水産食料品製造業,10～29人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,67,60代以上
H28,10,12～13,デリカセンター冷凍庫内からサバの切り身が入った箱、2箱を持って出ようとした際、滑ってころびそうになり棚につかまった。その際に腰を捻ってしまった。,製造業,食料品製造業,その他の食料品製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,動作の反動、無理な動作,66,60代以上
H28,10,9～10,事務所内にて紐でパレットを引いていた際、パレットと紐を接続していた部分が外れ、その勢いで後ろに転倒し、地面に後手をついて負傷した。,製造業,食料品製造業,水産食料品製造業,100～299人,その他の装置等,用具,その他の用具,転倒,62,60代以上
H28,10,11～12,工場で鮭フィレの整形をしていて手がすべり、包丁で左手を負傷した。,製造業,食料品製造業,水産食料品製造業,50～99人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,73,60代以上
